ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114
8559,BU06771001,BU06771001,17.1,0.0,0.0,2.0,17.1,5.2,0.2,1.0,2.0,7.4,15.8,37.9,0.0,0.0,6.9,4.6
8560,BU06771002,BU06771002,18.0,0.0,0.0,1.9,18.0,4.9,0.5,1.0,2.0,7.2,16.7,38.8,0.0,0.0,5.7,5.3
8561,WK067711,WK067711,13.6,0.0,0.0,2.0,13.6,9.7,0.0,0.7,2.0,10.6,12.3,34.5,0.0,0.0,10.9,1.0
8562,BU06771101,BU06771101,14.0,0.0,0.0,2.0,14.0,9.1,0.0,1.0,2.0,10.5,12.7,34.8,0.0,0.0,11.0,0.3
8563,BU06771102,BU06771102,13.4,0.0,0.0,2.0,13.4,10.1,0.0,0.5,2.0,10.9,12.1,34.2,0.0,0.0,11.0,0.9
8564,BU06771103,BU06771103,13.7,0.0,0.0,2.0,13.7,9.3,0.1,0.5,2.0,9.8,12.5,34.6,0.0,0.0,10.5,3.1
8565,WK067712,WK067712,15.1,0.0,0.0,2.0,15.1,10.5,0.0,0.2,2.0,12.6,13.8,35.9,0.0,0.0,9.5,3.0
8566,BU06771201,BU06771201,15.0,0.0,0.0,2.0,15.0,11.1,0.0,0.0,2.0,13.2,13.7,35.8,0.0,0.0,9.9,3.2
8567,BU06771202,BU06771202,15.2,0.0,0.0,2.0,15.2,10.0,0.0,0.4,2.0,12.1,14.0,36.0,0.0,0.0,9.1,2.8
8568,WK067713,WK067713,15.4,0.0,0.0,2.0,15.4,15.2,0.0,0.0,2.0,17.7,14.3,36.2,0.0,0.0,7.6,4.9
8569,BU06771301,BU06771301,15.5,0.0,0.0,2.0,15.5,15.5,0.0,0.0,2.0,17.9,14.5,36.4,0.0,0.0,7.1,4.9
8570,BU06771302,BU06771302,15.3,0.0,0.0,2.0,15.3,14.9,0.0,0.0,2.0,17.4,14.2,36.1,0.0,0.0,8.1,5.0
8571,WK067714,WK067714,18.5,0.0,0.0,1.9,18.5,7.5,0.0,1.0,1.9,9.8,17.2,39.3,0.0,0.0,5.1,4.1
8572,BU06771401,BU06771401,18.3,0.0,0.0,2.0,18.3,7.9,0.0,1.0,2.0,10.2,17.0,39.1,0.0,0.0,5.0,3.1
8573,BU06771402,BU06771402,18.7,0.0,0.0,1.7,18.7,7.1,0.0,1.0,1.9,9.5,17.4,39.5,0.0,0.0,5.2,4.9
8574,WK067715,WK067715,18.6,0.0,0.0,2.0,18.6,13.3,0.0,0.0,2.0,15.6,17.5,39.4,0.0,0.0,5.1,2.4
8575,BU06771501,BU06771501,19.4,0.0,0.0,1.9,19.4,12.9,0.0,0.0,2.0,15.2,18.3,40.2,0.0,0.0,5.0,2.0
8576,BU06771502,BU06771502,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
8577,BU06771503,BU06771503,17.7,0.0,0.0,2.0,17.7,13.6,0.0,0.0,2.0,15.9,16.7,38.6,0.0,0.0,5.2,2.7
8578,GM0353,GM0353,1.4,1.6,2.3,15.2,11.3,11.6,0.0,0.0,10.1,13.8,1.8,1.8,1.0,9.8,57.5,1.6
8579,WK035300,WK035300,1.4,1.6,2.3,15.2,11.3,11.6,0.0,0.0,10.1,13.8,1.8,1.8,1.0,9.8,57.5,1.6
8580,BU03530001,BU03530001,0.4,2.0,2.0,15.3,10.5,10.9,0.0,0.0,10.0,13.1,1.5,1.0,1.0,10.7,61.1,0.8
8581,BU03530002,BU03530002,0.7,2.0,2.0,15.3,10.6,11.0,0.0,0.0,10.0,13.1,1.2,0.7,1.0,10.4,60.4,0.5
8582,BU03530003,BU03530003,0.5,1.8,2.0,15.0,11.3,11.7,0.0,0.0,10.0,13.9,1.7,1.6,1.0,10.0,57.8,1.4
8583,BU03530004,BU03530004,0.6,2.0,2.2,15.0,11.0,11.4,0.0,0.0,10.0,13.5,1.8,1.4,1.0,10.1,59.4,1.2
8584,BU03530005,BU03530005,1.4,2.0,2.7,16.9,9.9,10.3,0.0,0.0,10.9,12.5,1.8,1.2,1.0,11.9,60.7,1.1
8585,BU03530006,BU03530006,1.3,2.0,2.9,15.5,10.5,10.9,0.0,0.0,10.2,13.0,2.1,1.5,1.0,10.8,60.3,1.4
8586,BU03530007,BU03530007,1.8,2.0,2.4,15.4,10.5,10.9,0.0,0.0,10.1,13.1,2.4,1.8,1.0,10.7,59.2,1.7
8587,BU03530008,BU03530008,1.8,2.0,3.0,15.0,11.2,11.2,0.0,0.0,10.0,13.7,2.8,2.2,1.0,10.0,57.6,2.1
8588,BU03530009,BU03530009,1.2,2.0,3.0,15.4,10.5,10.9,0.0,0.0,10.0,13.1,2.2,1.5,1.0,10.5,60.4,1.5
8589,BU03530010,BU03530010,1.3,2.0,2.6,17.0,9.9,10.3,0.0,0.0,11.0,12.5,1.7,1.1,1.0,12.0,60.7,1.0
8590,BU03530011,BU03530011,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
8591,BU03530012,BU03530012,1.5,2.0,2.0,15.9,10.4,10.8,0.0,0.0,10.1,12.9,1.1,0.6,1.0,11.1,59.4,0.8
8592,BU03530013,BU03530013,0.8,2.0,2.0,15.2,10.6,11.0,0.0,0.0,10.0,13.1,1.0,0.5,1.0,10.5,60.0,0.3
8593,BU03530014,BU03530014,1.7,2.0,2.5,16.5,10.2,10.6,0.0,0.0,10.5,12.7,0.7,0.9,1.0,11.5,58.2,1.1
8594,BU03530015,BU03530015,1.5,2.0,2.0,15.5,10.5,10.8,0.0,0.0,10.0,13.0,0.5,0.8,1.0,10.9,58.5,0.9
8595,BU03530016,BU03530016,2.2,1.0,2.0,15.0,12.0,12.4,0.0,0.0,10.0,14.5,1.6,1.9,1.0,8.5,54.7,1.8
8596,BU03530017,BU03530017,1.9,1.3,2.0,15.0,11.7,12.1,0.0,0.0,10.0,14.2,1.3,1.6,1.0,9.7,55.5,1.5
8597,BU03530018,BU03530018,1.5,2.0,2.0,15.0,11.2,11.6,0.0,0.0,10.0,13.8,0.8,1.1,1.0,10.0,56.7,1.0
