ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114
2022,BU01060002,BU01060002,1.1,1.0,1.0,1.0,27.7,1.1,1.0,1.0,1.0,13.5,1.2,2.7,2.0,4.1,28.0,3.1
2023,BU01060003,BU01060003,1.3,1.0,1.0,1.0,27.0,1.3,1.0,1.0,1.0,12.8,0.6,2.3,2.0,4.0,28.0,2.4
2024,BU01060004,BU01060004,1.1,1.0,1.0,1.0,26.9,1.1,1.0,1.0,1.0,12.7,0.4,2.2,2.0,4.0,28.0,2.4
2025,BU01060005,BU01060005,0.7,1.0,1.0,1.0,27.1,0.7,1.0,1.0,1.0,12.9,0.6,2.1,2.0,4.2,28.0,2.5
2026,BU01060006,BU01060006,0.5,1.0,1.0,1.0,27.6,0.5,1.0,1.0,1.0,13.4,1.1,2.1,2.0,4.7,28.0,2.7
2027,BU01060007,BU01060007,1.1,1.0,1.0,1.0,27.8,1.1,1.0,1.0,1.0,13.6,1.7,1.6,2.0,6.0,29.0,2.4
2028,BU01060008,BU01060008,0.8,1.0,1.0,1.0,27.9,0.8,1.0,1.0,1.0,13.7,1.3,2.3,2.0,5.4,28.6,2.9
2029,BU01060009,BU01060009,1.7,1.0,1.0,1.0,28.7,1.7,1.0,1.0,1.0,14.5,2.1,2.8,2.0,4.3,28.0,3.7
2030,BU01060010,BU01060010,1.2,1.0,1.0,1.0,28.3,1.2,1.0,1.0,1.0,14.1,1.7,2.9,2.0,4.0,28.0,3.6
2031,BU01060011,BU01060011,1.6,1.0,1.0,1.0,28.3,1.6,1.0,1.0,1.0,14.1,1.9,3.2,2.0,4.0,28.0,3.5
2032,BU01060012,BU01060012,2.3,1.0,1.0,1.0,29.3,2.3,1.0,1.0,1.0,15.1,2.7,3.1,2.0,4.1,28.0,4.2
2033,WK010601,WK010601,1.4,1.0,1.0,1.4,27.6,1.4,1.0,1.0,1.0,13.4,1.9,1.3,2.0,4.8,28.7,1.8
2034,BU01060100,BU01060100,0.9,1.0,1.0,1.0,27.5,0.9,1.0,1.0,1.0,13.3,1.4,1.6,2.0,5.7,28.9,2.1
2035,BU01060101,BU01060101,1.5,1.0,1.0,1.2,28.0,1.5,1.0,1.0,1.0,13.8,2.0,1.8,2.0,4.7,28.6,1.9
2036,BU01060102,BU01060102,1.8,1.0,1.0,1.7,28.2,1.8,1.0,1.0,1.0,13.9,2.3,1.6,2.0,4.7,28.7,1.6
2037,BU01060103,BU01060103,1.4,1.0,1.0,1.9,27.6,1.4,1.0,1.0,1.0,13.3,1.9,1.2,2.0,5.0,28.9,1.5
2038,BU01060104,BU01060104,1.5,1.0,1.0,1.4,27.4,1.5,1.0,1.0,1.0,13.2,2.0,0.9,2.0,4.5,28.8,1.7
2039,BU01060105,BU01060105,1.8,1.0,1.0,1.2,26.9,1.8,1.0,1.0,1.0,12.7,2.2,0.3,2.0,3.3,28.0,2.1
2040,WK010602,WK010602,1.7,1.0,1.0,1.1,26.4,1.7,1.0,1.0,1.0,12.1,1.7,1.2,2.0,3.9,28.2,2.2
2041,BU01060200,BU01060200,1.1,1.0,1.0,1.0,26.8,1.1,1.0,1.0,1.0,12.6,1.3,1.4,2.0,4.5,28.1,2.3
2042,BU01060201,BU01060201,1.7,1.0,1.0,1.0,26.3,1.7,1.0,1.0,1.0,12.0,1.0,1.6,2.0,4.0,28.1,2.0
2043,BU01060202,BU01060202,1.4,1.0,1.0,1.0,26.9,1.4,1.0,1.0,1.0,12.7,1.7,0.9,2.0,4.0,28.0,2.2
2044,BU01060203,BU01060203,1.8,1.0,1.0,1.0,26.3,1.8,1.0,1.0,1.0,12.1,1.8,0.8,2.0,3.7,28.0,2.3
2045,BU01060204,BU01060204,2.4,1.0,1.0,1.7,26.2,2.4,1.0,1.0,1.0,12.0,2.4,0.9,2.0,3.1,28.0,2.4
2046,BU01060205,BU01060205,2.4,1.0,1.0,1.0,25.7,2.4,1.0,1.0,1.0,11.5,2.0,1.3,2.0,3.6,28.7,2.0
2047,WK010603,WK010603,2.7,1.0,1.0,1.0,28.5,2.7,1.0,1.0,1.0,14.3,2.3,3.9,2.0,4.3,27.9,3.4
2048,BU01060302,BU01060302,3.1,1.0,1.0,1.0,27.7,3.1,1.0,1.0,1.0,13.4,2.3,4.1,2.0,4.0,27.5,2.1
2049,BU01060303,BU01060303,2.9,1.0,1.0,1.0,27.6,2.9,1.0,1.0,1.0,13.2,2.1,3.8,2.0,4.0,27.7,1.9
2050,BU01060304,BU01060304,2.5,1.0,1.0,1.0,28.1,2.5,1.0,1.0,1.0,13.8,1.8,3.5,2.0,4.0,28.0,2.5
2051,BU01060305,BU01060305,2.5,1.0,1.0,1.0,28.2,2.5,1.0,1.0,1.0,14.0,1.8,3.5,2.0,4.0,28.0,2.9
2052,BU01060306,BU01060306,3.2,1.0,1.0,1.0,28.8,3.2,1.0,1.0,1.0,14.5,2.4,4.2,2.0,4.0,27.7,3.3
2053,BU01060307,BU01060307,2.7,1.0,1.0,1.0,28.7,2.7,1.0,1.0,1.0,14.5,2.4,4.1,2.0,4.5,28.0,3.7
2054,BU01060308,BU01060308,2.2,1.0,1.0,1.0,28.2,2.2,1.0,1.0,1.0,14.0,2.0,3.6,2.0,4.0,28.0,3.3
2055,BU01060309,BU01060309,2.3,1.0,1.0,1.0,28.6,2.3,1.0,1.0,1.0,14.4,2.5,4.0,2.0,4.1,28.0,3.9
2056,BU01060310,BU01060310,3.6,1.0,1.0,1.0,29.9,3.6,1.0,1.0,1.0,15.7,3.7,5.0,2.0,5.0,27.9,5.1
2057,BU01060311,BU01060311,3.1,1.0,1.0,1.0,29.4,3.1,1.0,1.0,1.0,15.2,3.3,4.8,2.0,5.0,27.5,4.7
2058,WK010604,WK010604,2.5,1.0,1.0,1.3,27.5,2.5,1.0,1.0,1.0,13.3,2.9,1.0,2.0,3.9,28.3,2.0
2059,BU01060400,BU01060400,2.1,1.0,1.0,2.0,28.0,2.1,1.0,1.0,1.0,13.8,2.6,1.5,2.0,5.0,29.0,1.4
2060,BU01060401,BU01060401,2.4,1.0,1.0,1.3,27.6,2.4,1.0,1.0,1.0,13.4,2.9,1.1,2.0,4.3,28.5,1.8
2061,BU01060402,BU01060402,2.7,1.0,1.0,1.0,27.3,2.7,1.0,1.0,1.0,13.1,3.0,0.8,2.0,3.1,28.0,2.3
2062,BU01060403,BU01060403,2.5,1.0,1.0,1.0,27.1,2.5,1.0,1.0,1.0,12.9,2.9,0.6,2.0,3.3,28.0,2.3
2063,WK010605,WK010605,2.9,1.0,1.0,1.1,29.6,2.9,1.0,1.0,1.0,15.4,3.4,1.4,2.0,4.5,28.9,2.7
2064,BU01060500,BU01060500,2.9,1.0,1.0,1.0,29.2,2.9,1.0,1.0,1.0,15.0,3.0,3.3,2.0,4.0,28.0,4.4
2065,BU01060501,BU01060501,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2066,BU01060502,BU01060502,3.1,1.0,1.0,1.0,30.1,3.1,1.0,1.0,1.0,15.8,3.7,2.0,2.0,4.2,29.0,3.1
2067,BU01060503,BU01060503,3.1,1.0,1.0,1.0,29.9,3.1,1.0,1.0,1.0,15.7,3.6,1.2,2.0,4.3,29.0,2.6
2068,BU01060504,BU01060504,3.0,1.0,1.0,1.1,29.3,3.0,1.0,1.0,1.0,15.2,3.5,0.4,2.0,5.0,29.0,1.8
2069,BU01060505,BU01060505,2.5,1.0,1.0,2.0,28.6,2.5,1.0,1.0,1.0,14.7,3.0,0.3,2.0,5.0,29.0,1.3
2070,BU01060506,BU01060506,3.3,1.0,1.0,1.3,29.3,3.3,1.0,1.0,1.0,15.6,3.8,1.6,2.0,4.8,29.0,2.3
2071,BU01060507,BU01060507,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2072,BU01060508,BU01060508,1.9,1.0,1.0,1.0,28.6,1.9,1.0,1.0,1.0,14.4,2.4,1.2,2.0,5.0,29.0,2.4
2073,BU01060509,BU01060509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2074,WK010606,WK010606,3.8,1.0,1.0,1.4,25.4,3.8,1.0,1.0,1.0,11.2,3.4,2.0,2.0,3.0,27.3,2.7
2075,BU01060600,BU01060600,3.4,1.0,1.0,2.0,25.7,3.4,1.0,1.0,1.0,11.5,3.4,1.5,2.0,3.0,27.7,2.8
2076,BU01060601,BU01060601,4.0,1.0,1.0,1.2,25.9,4.0,1.0,1.0,1.0,11.6,3.8,2.2,2.0,3.0,26.5,3.1
2077,BU01060602,BU01060602,3.8,1.0,1.0,1.4,25.3,3.8,1.0,1.0,1.0,11.1,3.3,2.0,2.0,3.0,27.5,2.5
2078,BU01060603,BU01060603,3.7,1.0,1.0,1.1,25.0,3.7,1.0,1.0,1.0,10.7,3.1,2.3,2.0,3.0,27.8,2.3
2079,BU01060604,BU01060604,4.4,1.0,1.0,2.0,24.2,4.4,1.0,1.0,1.0,9.9,3.8,3.5,2.0,3.0,26.0,2.9
2080,WK010607,WK010607,4.5,0.8,1.0,1.0,26.1,4.5,0.8,1.0,1.0,11.9,3.7,3.8,2.0,3.9,26.3,1.6
2081,BU01060700,BU01060700,5.3,0.2,1.0,2.0,23.9,5.3,0.2,1.0,1.0,10.0,4.7,4.4,2.0,3.0,26.0,3.8
2082,BU01060701,BU01060701,5.5,0.0,1.0,1.0,27.1,5.5,0.0,1.0,1.0,12.9,4.8,4.9,2.0,3.5,24.5,2.3
2083,BU01060702,BU01060702,5.1,0.3,1.0,1.0,26.9,5.1,0.3,1.0,1.0,12.7,4.3,4.6,2.0,4.0,26.0,1.8
2084,BU01060703,BU01060703,5.1,0.1,1.0,1.0,26.8,5.1,0.1,1.0,1.0,12.6,4.4,4.5,2.0,4.0,25.9,1.9
2085,BU01060704,BU01060704,4.7,1.0,1.0,1.0,26.1,4.7,1.0,1.0,1.0,11.9,4.0,3.8,2.0,4.0,25.8,1.9
2086,BU01060705,BU01060705,4.5,1.0,1.0,1.0,25.7,4.5,1.0,1.0,1.0,11.5,3.8,3.7,2.0,3.8,26.4,2.0
2087,BU01060706,BU01060706,3.6,1.0,1.0,1.2,24.9,3.6,1.0,1.0,1.0,10.6,2.9,2.7,2.0,4.0,28.4,1.4
2088,BU01060707,BU01060707,4.2,1.0,1.0,1.0,25.4,4.2,1.0,1.0,1.0,11.2,3.5,3.3,2.0,4.0,27.0,1.7
2089,BU01060708,BU01060708,4.4,1.0,1.0,1.0,25.9,4.4,1.0,1.0,1.0,11.7,3.7,3.6,2.0,4.0,26.2,1.3
2090,BU01060709,BU01060709,4.7,1.0,1.0,1.0,26.5,4.7,1.0,1.0,1.0,12.3,3.9,4.2,2.0,4.0,26.0,1.4
2091,BU01060710,BU01060710,4.3,1.0,1.0,1.0,26.4,4.3,1.0,1.0,1.0,12.1,3.5,4.1,2.0,4.0,26.0,1.0
2092,BU01060711,BU01060711,4.1,1.0,1.0,1.0,25.7,4.1,1.0,1.0,1.0,11.5,3.4,3.2,2.0,4.0,26.9,1.1
2093,BU01060712,BU01060712,3.7,1.0,1.0,1.0,25.5,3.7,1.0,1.0,1.0,11.3,2.9,2.8,2.0,4.0,28.1,0.9
2094,BU01060713,BU01060713,2.8,1.0,1.0,1.0,25.6,2.8,1.0,1.0,1.0,11.4,2.0,2.3,2.0,4.0,28.9,1.4
2095,BU01060714,BU01060714,2.9,1.0,1.0,1.0,26.0,2.9,1.0,1.0,1.0,11.8,2.1,2.6,2.0,4.0,28.1,0.9
2096,BU01060715,BU01060715,3.9,1.0,1.0,1.0,25.5,3.9,1.0,1.0,1.0,11.1,3.1,3.6,2.0,4.0,26.4,0.7
2097,BU01060716,BU01060716,2.3,1.0,1.0,1.0,26.4,2.3,1.0,1.0,1.0,12.2,1.5,2.1,2.0,4.0,28.0,1.2
2098,BU01060717,BU01060717,2.2,1.0,1.0,1.0,27.6,2.2,1.0,1.0,1.0,13.4,1.5,3.1,2.0,4.0,28.0,1.9
2099,WK010608,WK010608,4.4,1.0,1.0,2.0,30.2,4.4,1.0,1.0,1.0,16.2,4.9,3.0,2.0,4.0,28.1,2.5
2100,BU01060800,BU01060800,4.4,1.0,1.0,2.0,30.2,4.4,1.0,1.0,1.0,16.1,4.9,2.8,2.0,4.0,28.6,2.3
2101,BU01060801,BU01060801,4.7,1.0,1.0,2.0,30.5,4.7,1.0,1.0,1.0,16.6,5.2,2.8,2.0,4.0,28.3,2.8
2102,BU01060802,BU01060802,4.4,1.0,1.0,2.0,30.2,4.4,1.0,1.0,1.0,16.0,4.9,2.8,2.0,4.0,28.5,2.2
2103,BU01060803,BU01060803,4.0,1.0,1.0,2.0,29.8,4.0,1.0,1.0,1.0,15.6,4.5,2.9,2.0,4.1,28.5,1.8
2104,BU01060804,BU01060804,4.2,1.0,1.0,2.0,30.1,4.2,1.0,1.0,1.0,15.9,4.8,3.2,2.0,4.0,27.9,2.1
2105,BU01060805,BU01060805,4.5,1.0,1.0,2.0,30.3,4.5,1.0,1.0,1.0,16.1,5.0,3.4,2.0,4.0,27.4,2.3
2106,BU01060806,BU01060806,4.7,1.0,1.0,2.0,30.6,4.7,1.0,1.0,1.0,16.4,5.2,3.4,2.0,4.0,27.0,2.6
2107,BU01060807,BU01060807,4.8,0.9,1.0,2.0,30.5,4.8,0.9,1.0,1.0,16.7,5.3,2.9,2.0,4.0,28.3,2.9
2108,BU01060808,BU01060808,4.6,1.0,1.0,2.0,30.4,4.6,1.0,1.0,1.0,16.8,5.1,2.7,2.0,4.0,28.6,3.1
2109,BU01060809,BU01060809,4.1,1.0,1.0,2.0,29.9,4.1,1.0,1.0,1.0,16.3,4.6,2.2,2.0,4.0,29.0,2.9
2110,BU01060810,BU01060810,4.1,1.0,1.0,2.0,29.8,4.1,1.0,1.0,1.0,16.3,4.6,2.2,2.0,4.1,29.0,2.9
2111,BU01060811,BU01060811,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2112,BU01060812,BU01060812,3.1,1.0,1.0,2.0,29.0,3.1,1.0,1.0,1.0,14.8,3.6,2.1,2.0,5.0,29.0,1.0
2113,BU01060813,BU01060813,2.7,1.0,1.0,2.0,28.6,2.7,1.0,1.0,1.0,14.4,3.2,1.6,2.0,5.0,29.0,0.4
2114,BU01060815,BU01060815,4.3,1.0,1.0,2.0,30.2,4.3,1.0,1.0,1.0,15.9,4.8,3.3,2.0,4.1,27.8,2.2
2115,BU01060816,BU01060816,4.6,1.0,1.0,1.8,30.5,4.6,1.0,1.0,1.0,16.3,5.1,3.5,2.0,4.0,27.2,2.5
2116,BU01060817,BU01060817,4.6,1.0,1.0,2.0,30.4,4.6,1.0,1.0,1.0,16.8,5.1,2.7,2.0,4.0,29.3,3.3
2117,BU01060899,BU01060899,5.1,0.4,1.0,2.0,30.7,5.1,0.4,1.0,1.0,17.3,5.6,3.2,2.0,4.0,28.4,3.8
2118,WK010699,WK010699,5.3,0.4,1.0,1.5,26.6,5.4,0.4,1.0,1.1,12.5,5.3,4.5,2.0,3.9,26.9,3.6
2119,BU01069900,BU01069900,5.2,0.1,1.0,1.0,25.3,5.2,0.1,1.0,1.0,11.0,4.5,5.2,2.0,4.0,25.5,2.1
2120,BU01069901,BU01069901,5.1,0.8,1.0,1.0,24.7,5.1,0.8,1.0,1.0,10.4,4.4,4.9,2.0,4.0,26.6,1.9
2121,BU01069902,BU01069902,7.1,0.0,1.0,2.2,22.3,7.1,0.0,1.0,1.2,7.9,6.4,6.2,2.0,3.4,25.3,4.5
2122,BU01069903,BU01069903,8.3,0.0,1.0,3.4,21.0,8.3,0.0,1.0,2.0,6.3,7.7,7.5,1.7,3.2,24.9,3.8
2123,BU01069904,BU01069904,6.6,0.0,1.0,2.4,21.6,6.6,0.0,1.0,1.1,6.8,6.0,5.7,2.0,3.0,25.4,3.6
2124,BU01069905,BU01069905,7.5,0.0,1.0,2.0,23.0,7.5,0.0,1.0,1.0,8.2,7.0,5.8,2.0,3.0,26.0,5.1
2125,BU01069906,BU01069906,5.2,0.2,1.0,2.0,23.4,5.2,0.2,1.0,1.0,8.6,4.6,4.4,2.0,3.0,26.0,3.8
2126,BU01069907,BU01069907,5.2,0.4,1.0,2.0,24.9,5.2,0.4,1.0,1.0,10.6,5.5,3.3,2.0,3.0,27.0,5.0
2127,BU01069908,BU01069908,4.2,1.0,1.0,2.0,25.9,4.2,1.0,1.0,1.0,11.7,4.5,2.3,2.0,3.0,27.0,4.0
2128,BU01069909,BU01069909,6.5,0.0,1.0,2.0,26.0,6.5,0.0,1.0,1.0,11.8,6.9,5.0,2.0,3.1,27.6,4.8
2129,BU01069910,BU01069910,4.4,0.8,1.0,2.0,28.6,4.4,0.8,1.0,1.0,14.3,4.9,3.2,2.0,4.6,29.4,2.2
2130,BU01069911,BU01069911,5.6,0.2,1.0,1.0,31.8,5.6,0.2,1.0,1.0,17.8,6.1,3.0,2.0,4.0,28.6,4.1
2131,BU01069912,BU01069912,4.5,1.0,1.0,1.0,30.8,4.5,1.0,1.0,1.0,16.7,5.0,1.9,2.0,4.0,29.0,3.3
2132,BU01069913,BU01069913,4.6,0.6,1.0,1.0,30.0,6.9,0.0,1.0,1.0,19.5,7.3,4.7,2.0,5.3,28.2,5.8
2133,BU01069914,BU01069914,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2134,BU01069915,BU01069915,4.2,1.0,1.0,1.0,30.4,4.2,1.0,1.0,1.0,16.0,4.2,5.5,2.0,5.0,27.0,4.7
2135,BU01069916,BU01069916,3.1,1.0,1.0,1.0,29.2,3.1,1.0,1.0,1.0,14.9,3.0,4.7,2.0,4.8,27.6,4.1
2136,BU01069917,BU01069917,3.5,1.0,1.0,1.0,28.7,3.5,1.0,1.0,1.0,14.4,2.7,4.4,2.0,4.0,27.4,3.1
2137,BU01069918,BU01069918,3.7,1.0,1.0,1.0,26.3,3.7,1.0,1.0,1.0,12.0,3.0,4.3,2.0,4.0,27.0,1.6
2138,GM0743,GM0743,12.2,0.0,0.0,3.3,20.2,12.3,0.0,0.0,2.9,12.0,8.9,7.2,1.9,6.9,33.6,1.6
2139,WK074301,WK074301,11.4,0.0,0.0,2.6,20.6,11.5,0.0,0.0,2.0,11.1,7.4,7.0,2.0,7.0,34.0,1.5
2140,BU07430101,BU07430101,11.2,0.0,0.0,2.9,20.4,11.3,0.0,0.0,2.0,10.9,7.5,7.1,2.0,7.0,34.0,1.3
2141,BU07430102,BU07430102,11.8,0.0,0.0,2.0,21.1,11.8,0.0,0.0,2.0,11.6,7.1,6.8,2.0,7.0,34.0,1.8
2142,BU07430103,BU07430103,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2143,WK074302,WK074302,13.7,0.0,0.0,2.8,21.5,13.7,0.0,0.0,2.8,15.4,9.1,8.4,1.5,6.5,32.5,2.7
2144,BU07430201,BU07430201,13.8,0.0,0.0,2.1,21.7,13.8,0.0,0.0,2.3,19.1,9.6,9.0,0.7,5.6,32.5,2.9
2145,BU07430202,BU07430202,13.7,0.0,0.0,3.1,21.4,13.7,0.0,0.0,3.1,13.5,8.8,8.1,1.9,6.9,32.6,2.5
2146,WK074303,WK074303,11.7,0.0,0.0,2.2,20.8,11.7,0.0,0.0,2.0,11.3,7.9,7.4,2.0,7.0,34.0,0.9
2147,BU07430301,BU07430301,11.6,0.0,0.0,2.3,20.8,11.7,0.0,0.0,2.0,11.2,7.6,7.3,2.0,7.0,34.0,1.3
2148,BU07430302,BU07430302,11.7,0.0,0.0,2.2,20.9,11.8,0.0,0.0,2.0,11.3,7.8,7.5,2.0,7.0,34.0,1.0
2149,BU07430303,BU07430303,11.6,0.0,0.0,2.2,20.8,11.7,0.0,0.0,2.0,11.2,8.1,7.4,2.0,7.0,34.0,0.5
2150,WK074304,WK074304,12.5,0.0,0.0,2.8,21.2,12.6,0.0,0.0,2.8,12.1,8.8,8.0,2.0,7.0,33.1,1.1
2151,BU07430401,BU07430401,12.4,0.0,0.0,2.0,21.5,12.5,0.0,0.0,2.0,12.0,8.4,8.1,2.0,7.0,33.9,1.0
2152,BU07430402,BU07430402,12.1,0.0,0.0,2.9,20.7,12.1,0.0,0.0,2.9,11.7,8.5,7.5,2.0,7.0,34.0,0.5
2153,BU07430403,BU07430403,13.1,0.0,0.0,3.0,21.4,13.2,0.0,0.0,3.0,12.7,9.5,8.5,2.0,7.0,32.0,1.6
2154,BU07430404,BU07430404,12.7,0.0,0.0,3.0,21.0,12.8,0.0,0.0,3.0,12.4,9.1,8.1,2.0,7.0,32.1,1.2
2155,BU07430405,BU07430405,12.6,0.0,0.0,2.8,21.7,12.6,0.0,0.0,2.8,12.2,8.5,8.2,2.0,7.0,33.2,1.6
2156,WK074305,WK074305,12.2,0.0,0.0,3.2,20.3,12.3,0.0,0.0,3.5,11.8,9.1,7.2,2.0,7.0,33.5,1.0
2157,BU07430501,BU07430501,12.4,0.0,0.0,3.0,20.3,12.4,0.0,0.0,3.5,12.0,9.0,7.5,2.0,7.0,33.7,0.8
2158,BU07430502,BU07430502,11.9,0.0,0.0,3.1,20.3,12.0,0.0,0.0,3.5,11.6,9.0,6.8,2.0,7.0,33.8,0.9
2159,BU07430503,BU07430503,12.8,0.0,0.0,3.0,20.7,12.8,0.0,0.0,3.0,12.4,9.1,7.9,2.0,7.0,32.0,1.2
2160,BU07430504,BU07430504,12.6,0.0,0.0,4.0,19.9,12.7,0.0,0.0,4.0,12.3,9.4,7.4,2.0,7.0,33.1,1.2
2161,WK074306,WK074306,11.2,0.0,0.0,3.4,20.2,11.3,0.0,0.0,2.4,10.8,8.6,6.6,2.0,7.0,34.2,1.1
2162,BU07430601,BU07430601,11.3,0.0,0.0,3.6,20.0,11.3,0.0,0.0,2.9,10.9,8.9,6.3,2.0,7.0,34.3,1.4
2163,BU07430602,BU07430602,10.9,0.0,0.0,3.7,20.1,11.0,0.0,0.0,2.0,10.5,8.3,6.9,2.1,7.0,34.1,1.1
2164,BU07430603,BU07430603,11.4,0.0,0.0,2.7,20.5,11.5,0.0,0.0,2.2,11.0,8.5,6.8,2.0,7.0,34.0,0.8
2165,WK074307,WK074307,10.3,0.0,0.6,6.3,19.1,10.4,0.0,0.6,3.2,9.9,8.9,7.2,3.1,5.9,34.0,2.4
2166,BU07430701,BU07430701,9.8,0.0,0.7,6.9,18.9,9.8,0.0,0.8,3.2,9.4,8.7,7.6,3.5,5.6,34.0,2.6
2167,BU07430702,BU07430702,11.7,0.0,0.0,4.6,19.6,11.8,0.0,0.0,3.3,11.4,9.6,6.1,2.0,7.0,34.0,1.8
2168,WK074308,WK074308,14.5,0.0,0.0,4.9,18.0,14.6,0.0,0.0,4.0,14.6,11.2,7.3,1.0,6.9,33.0,3.5
2169,BU07430801,BU07430801,14.3,0.0,0.0,5.0,18.2,14.4,0.0,0.0,4.0,14.0,11.2,7.2,1.0,7.0,33.0,2.9
2170,BU07430802,BU07430802,14.9,0.0,0.0,4.8,17.8,14.8,0.0,0.0,3.9,15.6,11.2,7.5,1.0,6.7,33.0,4.4
2171,WK074309,WK074309,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2172,BU07430901,BU07430901,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
2173,WK074310,WK074310,10.6,0.0,0.2,2.8,20.8,10.7,0.0,0.3,2.0,11.2,6.4,6.1,2.7,6.6,34.1,3.1
2174,BU07431001,BU07431001,10.8,0.0,0.0,2.6,20.6,10.9,0.0,0.0,2.0,11.1,6.2,5.9,2.9,7.0,34.0,2.7
2175,BU07431002,BU07431002,10.2,0.0,0.6,3.1,21.0,10.3,0.0,0.7,2.1,11.4,6.8,6.5,2.3,6.0,34.4,3.9
2176,WK074311,WK074311,10.3,0.0,0.3,4.0,20.0,10.3,0.0,0.3,2.0,10.5,7.1,6.7,3.0,6.0,34.3,3.3
2177,BU07431101,BU07431101,10.3,0.0,0.3,4.0,20.0,10.3,0.0,0.3,2.0,10.5,7.1,6.7,3.0,6.0,34.3,3.3
2178,GM0744,GM0744,19.4,0.0,0.0,2.8,20.0,18.7,0.0,0.0,2.3,2.6,2.5,14.6,0.0,5.4,28.7,2.5
2179,WK074401,WK074401,19.5,0.0,0.0,3.0,20.2,18.5,0.0,0.0,2.3,1.9,1.6,14.2,0.0,5.4,29.2,1.8
2180,BU07440101,BU07440101,19.0,0.0,0.0,4.7,19.8,17.9,0.0,0.0,3.0,1.4,0.4,13.5,0.0,6.2,29.2,1.2
2181,BU07440102,BU07440102,19.6,0.0,0.0,2.4,20.1,18.6,0.0,0.0,2.2,0.5,1.1,14.2,0.0,5.4,29.0,0.4
2182,BU07440103,BU07440103,19.0,0.0,0.0,4.7,19.8,17.9,0.0,0.0,3.0,1.0,0.9,13.5,0.0,6.1,29.2,1.1
2183,BU07440104,BU07440104,18.7,0.0,0.0,5.0,19.5,17.7,0.0,0.0,3.0,2.0,0.9,13.3,0.0,5.9,29.9,1.8
2184,BU07440105,BU07440105,19.8,0.0,0.0,1.2,20.3,18.8,0.0,0.0,1.6,0.9,0.9,14.4,0.0,5.0,29.0,0.6
2185,BU07440106,BU07440106,19.4,0.0,0.0,1.3,19.4,19.5,0.0,0.0,1.9,0.8,1.8,15.1,0.0,5.0,29.0,0.9
2186,BU07440107,BU07440107,20.1,0.0,0.0,1.6,20.8,19.1,0.0,0.0,1.5,3.9,3.2,15.0,0.0,4.7,29.3,3.6
2187,WK074402,WK074402,18.0,0.0,0.0,1.8,18.0,18.5,0.0,0.0,2.6,5.2,5.8,15.6,0.0,6.1,26.6,5.1
2188,BU07440201,BU07440201,17.7,0.0,0.0,2.0,17.7,18.2,0.0,0.0,3.0,5.0,5.5,15.4,0.0,7.0,26.6,5.0
2189,BU07440202,BU07440202,18.3,0.0,0.0,1.6,18.3,18.8,0.0,0.0,2.1,5.4,6.0,15.9,0.0,5.2,26.7,5.3
2190,WK074403,WK074403,27.1,0.0,0.0,0.0,27.1,27.7,0.0,0.0,0.0,11.1,11.5,24.9,0.0,0.0,23.0,11.0
2191,BU07440301,BU07440301,27.1,0.0,0.0,0.0,27.1,27.7,0.0,0.0,0.0,11.1,11.5,24.9,0.0,0.0,23.0,11.0
2192,GM0308,GM0308,1.5,1.0,5.1,19.3,9.1,8.7,0.1,1.8,8.2,3.9,1.3,9.1,1.6,8.4,49.5,1.4
2193,WK030800,WK030800,1.3,1.0,5.2,19.8,9.5,9.0,0.0,2.0,8.6,3.3,0.9,8.7,1.9,8.5,49.6,1.2
2194,BU03080000,BU03080000,0.8,1.0,5.9,18.7,9.3,8.8,0.0,2.0,7.7,3.5,0.4,8.9,2.1,8.1,49.8,0.8
2195,BU03080001,BU03080001,0.7,1.0,4.9,18.9,9.8,9.4,0.0,2.0,7.9,3.4,0.6,8.8,2.6,8.1,49.4,1.4
2196,BU03080002,BU03080002,1.4,1.0,6.0,19.2,8.7,8.3,0.0,2.0,8.0,3.6,1.1,9.0,1.8,8.5,50.6,0.5
2197,BU03080003,BU03080003,1.2,1.0,6.0,18.0,8.6,8.2,0.0,2.0,7.0,4.1,1.1,9.4,1.0,8.0,49.8,0.4
2198,BU03080004,BU03080004,1.3,1.1,4.7,21.2,10.1,9.5,0.0,2.3,9.8,2.9,0.9,8.2,2.0,8.9,49.6,1.7
