ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
6684,WK039215,WK039215,0.4,3.1,10.7,28.7,0.4,2.6,3.6,9.0,28.6,0.6,1.2,5.8,55.8,       .,       .,       .,       .
6685,BU03921501,BU03921501,0.4,2.9,11.0,25.9,0.3,2.9,3.1,9.0,27.6,0.7,1.0,4.6,40.0,       .,       .,       .,       .
6686,BU03921502,BU03921502,0.6,2.7,9.9,29.6,0.6,2.7,3.7,9.0,28.4,0.7,1.0,5.7,61.0,       .,       .,       .,       .
6687,BU03921503,BU03921503,0.4,3.8,10.9,32.0,0.2,2.3,4.3,9.0,30.1,0.2,1.9,7.7,74.7,       .,       .,       .,       .
6688,WK039216,WK039216,0.5,2.7,10.4,24.6,0.5,2.7,3.2,9.0,28.0,0.8,0.9,5.7,44.5,       .,       .,       .,       .
6689,BU03921601,BU03921601,1.1,1.2,9.5,20.9,1.0,2.3,3.0,9.0,27.1,1.3,0.0,4.6,16.5,       .,       .,       .,       .
6690,BU03921602,BU03921602,0.6,1.9,11.0,22.7,0.8,2.4,2.9,9.0,28.0,1.1,0.0,6.0,32.4,       .,       .,       .,       .
6691,BU03921603,BU03921603,0.6,2.7,10.4,23.0,0.6,2.8,3.0,9.0,27.7,0.9,0.8,5.5,36.0,       .,       .,       .,       .
6692,BU03921604,BU03921604,0.3,3.0,10.7,26.2,0.3,2.7,3.5,9.0,28.1,0.6,1.0,5.8,53.9,       .,       .,       .,       .
6693,BU03921605,BU03921605,0.3,3.0,10.3,27.5,0.5,2.7,3.5,9.0,29.0,0.7,1.0,6.6,60.3,       .,       .,       .,       .
6694,WK039217,WK039217,0.9,0.6,2.7,16.6,0.8,3.2,2.0,8.3,35.1,0.4,2.0,3.0,13.1,       .,       .,       .,       .
6695,BU03921701,BU03921701,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
6696,BU03921702,BU03921702,0.9,0.6,2.7,16.6,0.8,3.2,2.0,8.3,35.1,0.4,2.0,3.0,13.1,       .,       .,       .,       .
6697,WK039218,WK039218,0.5,1.5,18.8,42.1,0.4,1.5,4.2,8.3,33.7,1.4,0.0,20.7,84.9,       .,       .,       .,       .
6698,BU03921801,BU03921801,1.0,0.7,14.9,39.7,0.6,2.1,4.0,6.8,32.6,1.9,0.0,15.1,84.6,       .,       .,       .,       .
6699,BU03921802,BU03921802,0.5,1.6,17.9,44.3,0.2,1.8,4.6,8.0,36.5,1.5,0.0,36.6,86.8,       .,       .,       .,       .
6700,BU03921803,BU03921803,1.2,0.2,12.1,39.6,0.8,2.3,4.0,7.0,30.0,2.2,0.0,9.7,83.5,       .,       .,       .,       .
6701,BU03921804,BU03921804,0.6,2.3,18.5,43.0,0.3,1.5,4.1,7.8,35.6,1.4,0.0,23.4,86.2,       .,       .,       .,       .
6702,BU03921805,BU03921805,1.5,0.0,14.6,27.8,1.5,2.0,4.0,7.8,25.1,1.9,0.0,4.0,41.5,       .,       .,       .,       .
6703,BU03921806,BU03921806,0.4,1.2,19.8,40.6,0.6,1.4,4.0,9.0,30.9,1.3,0.0,12.9,83.5,       .,       .,       .,       .
6704,BU03921807,BU03921807,0.4,1.4,20.0,41.6,0.4,1.3,4.0,8.4,33.5,1.2,0.1,14.3,84.8,       .,       .,       .,       .
6705,WK039219,WK039219,0.6,2.1,16.0,41.9,0.7,1.8,4.5,8.1,36.9,1.2,0.2,18.3,86.3,       .,       .,       .,       .
6706,BU03921901,BU03921901,1.1,0.6,18.9,45.9,0.8,1.9,5.0,7.7,36.8,1.4,0.0,46.4,87.5,       .,       .,       .,       .
6707,BU03921902,BU03921902,0.9,0.9,16.8,44.4,1.1,2.2,5.0,8.0,38.0,1.6,0.0,29.6,87.3,       .,       .,       .,       .
6708,BU03921903,BU03921903,0.4,1.2,16.0,42.4,0.9,1.8,4.9,8.1,37.2,1.4,0.0,15.5,86.6,       .,       .,       .,       .
6709,BU03921904,BU03921904,0.7,2.1,14.2,38.1,0.6,1.9,4.0,8.1,36.6,1.0,0.5,9.2,85.0,       .,       .,       .,       .
6710,BU03921905,BU03921905,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
6711,BU03921906,BU03921906,0.4,3.9,15.5,41.1,0.5,1.4,4.2,8.2,36.7,1.1,0.4,11.6,86.0,       .,       .,       .,       .
6712,WK039220,WK039220,0.7,1.4,13.2,31.8,0.7,1.4,3.9,7.7,26.1,1.3,0.3,3.9,63.5,       .,       .,       .,       .
6713,BU03922001,BU03922001,1.9,0.0,8.6,25.7,1.9,2.5,2.9,7.1,23.2,2.4,0.0,2.8,32.3,       .,       .,       .,       .
6714,BU03922002,BU03922002,0.9,0.9,15.2,31.4,0.9,1.5,4.0,8.7,25.0,1.4,0.0,5.1,63.9,       .,       .,       .,       .
6715,BU03922003,BU03922003,0.5,1.6,16.8,35.5,0.5,1.2,4.0,8.4,26.6,1.1,0.4,5.0,76.0,       .,       .,       .,       .
6716,BU03922004,BU03922004,0.6,2.3,11.9,32.9,0.6,1.2,4.0,7.2,27.8,1.1,0.8,3.9,68.8,       .,       .,       .,       .
6717,BU03922005,BU03922005,0.5,1.5,12.8,31.7,0.5,1.4,4.0,7.4,26.7,1.2,0.3,3.6,65.0,       .,       .,       .,       .
6718,BU03922006,BU03922006,1.0,0.6,9.0,27.1,1.0,1.7,3.9,7.0,24.8,1.6,0.0,2.0,44.0,       .,       .,       .,       .
6719,BU03922007,BU03922007,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
6720,WK039221,WK039221,0.4,3.5,10.4,32.6,0.3,1.3,4.0,7.3,32.7,0.5,1.3,2.9,69.5,       .,       .,       .,       .
6721,BU03922101,BU03922101,0.2,5.4,17.9,40.9,0.2,0.5,4.0,8.0,32.7,0.4,2.0,11.3,84.9,       .,       .,       .,       .
6722,BU03922102,BU03922102,0.5,4.6,11.1,35.9,0.3,1.1,4.0,7.4,33.9,0.6,1.6,3.3,78.9,       .,       .,       .,       .
6723,BU03922103,BU03922103,0.4,2.4,9.6,30.5,0.3,1.5,4.0,7.6,33.1,0.4,1.0,2.3,63.0,       .,       .,       .,       .
6724,BU03922104,BU03922104,0.9,2.0,8.0,24.0,0.9,2.1,2.2,7.0,29.2,0.9,1.0,2.0,20.7,       .,       .,       .,       .
6725,BU03922105,BU03922105,0.4,4.6,10.8,34.2,0.4,1.1,4.0,7.2,33.1,0.5,1.4,2.9,76.4,       .,       .,       .,       .
6726,BU03922106,BU03922106,0.4,2.5,9.3,30.0,0.4,1.5,4.0,7.0,31.1,0.5,1.0,2.1,61.7,       .,       .,       .,       .
6727,BU03922107,BU03922107,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
6728,GM0394,GM0394,1.2,1.3,7.5,15.4,1.0,2.7,1.5,7.1,31.8,2.0,0.6,3.4,7.8,       .,       .,       .,       .
6729,WK039401,WK039401,1.0,1.5,10.7,19.5,1.0,2.0,1.8,6.9,30.2,1.5,0.7,5.0,9.5,       .,       .,       .,       .
6730,BU03940101,BU03940101,0.5,6.0,16.2,19.4,0.4,1.0,1.6,6.1,35.5,0.4,4.0,8.1,10.0,       .,       .,       .,       .
6731,BU03940102,BU03940102,0.5,5.7,14.7,19.8,0.4,1.0,1.5,6.0,35.0,0.8,2.3,7.3,10.0,       .,       .,       .,       .
6732,BU03940103,BU03940103,0.5,2.9,15.0,20.4,0.9,1.6,1.8,6.0,34.1,1.2,0.5,7.2,9.9,       .,       .,       .,       .
6733,BU03940104,BU03940104,0.9,2.5,13.4,19.0,0.7,1.0,1.0,6.0,34.8,0.7,2.0,7.0,10.0,       .,       .,       .,       .
6734,BU03940105,BU03940105,0.6,2.9,15.8,19.9,0.6,1.5,1.6,6.5,35.3,0.6,2.8,9.2,10.0,       .,       .,       .,       .
6735,BU03940106,BU03940106,0.8,0.9,18.6,21.0,0.8,2.4,2.0,6.8,32.4,0.8,0.9,8.5,10.0,       .,       .,       .,       .
6736,BU03940107,BU03940107,0.7,1.0,17.6,21.0,0.7,2.1,2.0,6.6,34.6,0.7,1.0,9.0,10.0,       .,       .,       .,       .
6737,BU03940108,BU03940108,0.7,2.5,13.5,21.0,0.7,2.6,2.0,8.3,31.2,0.6,1.7,8.6,10.0,       .,       .,       .,       .
6738,BU03940109,BU03940109,0.7,1.3,16.4,21.0,0.7,2.5,2.0,7.1,31.9,0.8,0.7,8.7,10.0,       .,       .,       .,       .
6739,BU03940111,BU03940111,0.6,1.6,7.6,21.2,0.6,2.7,2.0,9.0,31.0,1.1,0.4,3.9,12.1,       .,       .,       .,       .
6740,BU03940112,BU03940112,0.8,1.1,8.5,20.4,0.9,1.9,2.0,7.8,29.4,1.1,0.3,2.9,10.2,       .,       .,       .,       .
6741,BU03940113,BU03940113,0.8,1.3,10.0,21.3,0.8,2.3,2.0,6.7,29.5,1.4,0.1,3.9,10.0,       .,       .,       .,       .
6742,BU03940114,BU03940114,1.1,0.8,14.8,23.2,1.0,3.0,2.6,6.6,30.8,1.5,0.1,6.6,9.9,       .,       .,       .,       .
6743,BU03940115,BU03940115,1.5,0.0,13.5,21.0,1.5,2.8,2.0,8.4,33.1,1.5,0.1,9.0,10.2,       .,       .,       .,       .
6744,BU03940116,BU03940116,1.2,0.4,4.4,13.6,1.2,1.5,1.4,7.3,24.8,2.6,0.0,1.2,7.8,       .,       .,       .,       .
6745,BU03940117,BU03940117,0.8,1.2,5.9,14.3,0.8,0.8,1.1,6.5,23.4,2.3,0.0,1.3,7.4,       .,       .,       .,       .
6746,BU03940118,BU03940118,3.0,0.0,2.0,24.8,2.9,3.4,3.0,5.6,29.3,3.3,0.0,0.9,8.7,       .,       .,       .,       .
6747,BU03940119,BU03940119,3.3,0.0,0.5,6.2,3.1,5.3,0.4,4.5,27.0,3.2,0.0,0.7,3.5,       .,       .,       .,       .
6748,BU03940122,BU03940122,2.4,0.0,4.4,16.2,2.1,3.7,1.2,6.5,33.8,2.6,0.0,2.9,9.0,       .,       .,       .,       .
6749,BU03940123,BU03940123,2.0,0.0,10.9,21.3,1.7,1.9,2.0,5.7,35.5,2.3,0.0,5.0,10.0,       .,       .,       .,       .
6750,BU03940124,BU03940124,1.6,0.0,16.2,21.5,1.6,2.3,2.1,6.1,32.4,1.6,0.0,7.5,9.7,       .,       .,       .,       .
6751,BU03940125,BU03940125,1.7,0.0,10.4,19.7,2.1,2.6,1.7,5.3,32.8,2.6,0.0,4.0,10.2,       .,       .,       .,       .
6752,BU03940126,BU03940126,2.2,0.0,11.5,24.8,2.1,3.1,3.0,7.0,31.3,2.4,0.0,4.9,9.0,       .,       .,       .,       .
6753,BU03940127,BU03940127,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
6754,WK039402,WK039402,1.3,1.1,6.0,11.3,1.2,1.9,1.7,5.6,27.2,4.4,0.0,0.0,2.4,       .,       .,       .,       .
6755,BU03940230,BU03940230,0.7,3.6,7.0,7.1,0.4,0.7,1.0,5.9,30.0,5.1,0.0,0.0,0.3,       .,       .,       .,       .
6756,BU03940231,BU03940231,0.8,3.1,7.0,9.6,0.7,0.8,1.2,5.0,29.2,5.1,0.0,0.0,0.4,       .,       .,       .,       .
6757,BU03940232,BU03940232,1.4,0.3,7.0,8.0,1.3,1.5,1.0,5.0,27.6,5.6,0.0,0.0,0.0,       .,       .,       .,       .
6758,BU03940233,BU03940233,0.7,2.6,7.0,8.3,0.6,0.9,1.1,5.5,29.1,4.8,0.0,0.0,0.8,       .,       .,       .,       .
6759,BU03940234,BU03940234,0.6,3.3,7.0,7.0,0.6,0.8,1.0,6.4,29.7,4.7,0.0,0.0,0.9,       .,       .,       .,       .
6760,BU03940235,BU03940235,0.5,1.2,7.0,7.0,0.6,1.6,1.0,6.4,29.2,4.4,0.0,0.0,0.9,       .,       .,       .,       .
6761,BU03940236,BU03940236,1.6,0.2,5.7,14.5,1.6,2.5,2.5,5.0,24.9,4.4,0.0,0.0,3.7,       .,       .,       .,       .
6762,BU03940237,BU03940237,1.6,0.3,4.8,14.2,1.6,2.7,2.1,5.7,26.3,3.6,0.0,0.1,4.1,       .,       .,       .,       .
6763,BU03940239,BU03940239,1.0,1.6,6.4,7.0,1.0,1.2,1.0,7.0,30.3,3.7,0.0,0.0,1.0,       .,       .,       .,       .
6764,BU03940240,BU03940240,2.4,0.0,3.3,12.2,2.0,2.8,1.7,6.1,28.3,3.2,0.0,0.4,3.2,       .,       .,       .,       .
6765,BU03940241,BU03940241,1.9,0.0,4.6,7.8,1.6,1.9,1.0,6.6,28.7,5.1,0.0,0.0,0.6,       .,       .,       .,       .
6766,WK039403,WK039403,0.9,1.8,3.0,4.6,0.6,6.7,0.0,7.0,45.6,0.7,1.8,4.0,6.1,       .,       .,       .,       .
6767,BU03940343,BU03940343,1.8,0.0,3.0,3.0,1.1,7.4,0.0,7.0,45.5,1.0,0.4,4.0,5.6,       .,       .,       .,       .
6768,BU03940344,BU03940344,0.8,1.3,3.0,3.7,0.4,6.7,0.0,7.0,46.0,0.4,2.7,4.0,5.1,       .,       .,       .,       .
6769,BU03940345,BU03940345,0.5,3.0,3.0,4.5,0.3,6.4,0.0,6.7,45.4,0.4,2.1,4.2,5.8,       .,       .,       .,       .
6770,BU03940346,BU03940346,0.7,2.4,3.0,4.5,0.6,6.5,0.0,5.6,45.5,0.8,1.2,4.1,5.6,       .,       .,       .,       .
6771,BU03940347,BU03940347,0.4,3.0,3.0,7.0,0.3,6.1,0.0,7.6,45.5,0.6,2.5,4.0,7.5,       .,       .,       .,       .
6772,BU03940348,BU03940348,0.6,2.7,3.0,5.8,0.4,6.3,0.0,7.7,46.0,0.6,3.0,4.0,6.7,       .,       .,       .,       .
6773,BU03940349,BU03940349,0.6,2.2,3.0,7.2,0.4,6.1,0.0,8.1,46.1,0.8,1.9,4.0,7.6,       .,       .,       .,       .
6774,BU03940350,BU03940350,1.4,0.4,3.0,3.2,1.2,7.3,0.0,6.4,44.1,1.1,0.6,4.7,5.0,       .,       .,       .,       .
6775,WK039404,WK039404,2.7,0.0,1.9,10.9,2.4,5.6,0.2,8.2,43.4,2.3,0.1,2.4,10.6,       .,       .,       .,       .
6776,BU03940429,BU03940429,2.6,0.0,2.9,12.2,2.3,4.9,0.6,7.8,43.8,2.6,0.0,2.9,10.8,       .,       .,       .,       .
6777,BU03940465,BU03940465,2.7,0.0,1.9,11.6,2.4,5.5,0.2,8.5,43.5,2.6,0.0,2.3,11.2,       .,       .,       .,       .
6778,BU03940466,BU03940466,3.0,0.0,0.9,5.7,2.8,7.1,0.0,7.8,42.5,0.6,0.9,2.0,7.1,       .,       .,       .,       .
6779,WK039405,WK039405,1.0,1.4,5.1,19.7,0.8,4.1,0.9,12.7,43.0,0.9,1.5,4.5,13.6,       .,       .,       .,       .
6780,BU03940551,BU03940551,1.3,1.0,3.0,10.8,1.3,5.3,0.5,10.7,41.7,1.6,0.5,3.2,7.9,       .,       .,       .,       .
6781,BU03940552,BU03940552,1.0,1.2,4.5,19.8,0.7,4.1,1.0,12.6,43.3,1.0,1.2,4.1,13.4,       .,       .,       .,       .
6782,BU03940553,BU03940553,0.4,3.0,3.7,19.9,0.3,4.1,1.0,13.8,42.8,0.4,2.1,4.0,13.0,       .,       .,       .,       .
6783,BU03940554,BU03940554,1.0,1.3,3.0,16.1,1.0,4.6,0.9,11.7,43.7,1.1,0.8,4.1,12.2,       .,       .,       .,       .
6784,BU03940556,BU03940556,0.4,2.9,3.5,18.7,0.3,4.1,1.0,13.5,43.6,0.5,2.0,4.0,12.7,       .,       .,       .,       .
6785,BU03940557,BU03940557,0.6,2.7,8.4,23.7,0.3,3.5,1.0,14.0,42.6,0.4,3.4,5.2,15.9,       .,       .,       .,       .
6786,BU03940558,BU03940558,1.2,0.3,9.4,24.0,0.7,3.3,1.0,13.0,42.9,0.7,2.3,6.6,17.2,       .,       .,       .,       .
6787,BU03940559,BU03940559,1.7,0.0,5.5,21.9,1.2,3.8,1.0,12.0,42.8,1.1,0.2,4.0,14.0,       .,       .,       .,       .
6788,BU03940560,BU03940560,0.8,2.1,6.2,21.8,0.6,3.8,1.0,13.5,42.8,0.6,2.7,4.9,14.6,       .,       .,       .,       .
6789,BU03940561,BU03940561,1.5,0.0,3.0,10.8,1.4,5.2,0.0,12.0,41.4,1.5,0.0,3.9,7.9,       .,       .,       .,       .
6790,BU03940562,BU03940562,1.3,0.2,7.5,22.6,0.7,3.6,1.0,12.6,42.9,0.8,1.4,5.6,16.4,       .,       .,       .,       .
6791,BU03940564,BU03940564,3.0,0.0,2.2,14.6,1.8,4.8,0.6,11.2,41.1,2.1,0.1,2.8,10.2,       .,       .,       .,       .
6792,WK039406,WK039406,2.6,0.2,3.2,8.7,2.4,2.8,1.0,4.8,35.7,1.8,0.2,1.6,5.0,       .,       .,       .,       .
6793,BU03940674,BU03940674,1.6,0.0,4.9,12.1,1.6,1.8,1.8,4.8,36.8,1.6,0.0,2.0,7.6,       .,       .,       .,       .
6794,BU03940675,BU03940675,4.6,0.0,0.0,4.6,3.8,5.0,0.4,5.7,36.4,0.7,0.7,1.0,2.2,       .,       .,       .,       .
6795,BU03940676,BU03940676,2.2,0.3,3.9,8.7,2.2,2.4,1.0,4.4,35.6,2.1,0.1,1.8,5.0,       .,       .,       .,       .
6796,BU03940677,BU03940677,2.1,0.0,4.6,18.8,2.2,2.3,2.0,5.9,38.0,2.2,0.0,1.9,10.9,       .,       .,       .,       .
6797,BU03940678,BU03940678,3.4,0.0,0.4,6.2,3.4,3.9,1.0,3.7,27.9,2.7,0.0,0.6,3.0,       .,       .,       .,       .
6798,WK039407,WK039407,0.9,0.7,1.2,4.8,0.8,4.4,0.8,5.0,27.7,1.0,0.6,1.1,2.6,       .,       .,       .,       .
6799,BU03940779,BU03940779,0.5,1.0,1.0,5.8,0.5,4.2,1.0,4.4,26.6,0.6,0.9,1.0,2.9,       .,       .,       .,       .
6800,BU03940780,BU03940780,0.9,0.6,1.0,3.3,0.9,5.0,0.5,5.3,27.9,0.9,0.5,1.0,1.8,       .,       .,       .,       .
6801,BU03940781,BU03940781,0.9,0.6,2.0,6.1,0.9,3.7,1.0,5.4,29.1,1.5,0.1,1.4,3.3,       .,       .,       .,       .
6802,BU03940782,BU03940782,1.5,0.2,1.4,4.3,1.3,4.6,0.6,5.2,28.6,1.5,0.2,1.1,2.7,       .,       .,       .,       .
6803,WK039408,WK039408,2.4,0.0,1.2,4.7,1.2,4.0,0.9,4.0,26.5,1.6,0.5,1.1,4.1,       .,       .,       .,       .
6804,BU03940883,BU03940883,2.5,0.0,1.0,5.8,0.5,4.6,1.0,4.1,27.5,2.9,0.0,0.6,3.0,       .,       .,       .,       .
6805,BU03940884,BU03940884,1.3,0.0,1.0,3.2,0.5,5.2,0.1,3.6,27.8,1.8,0.0,2.0,3.7,       .,       .,       .,       .
6806,BU03940885,BU03940885,2.4,0.0,1.4,4.0,1.8,3.4,1.0,4.0,25.4,0.4,1.0,1.5,5.0,       .,       .,       .,       .
6807,WK039409,WK039409,4.7,0.0,0.0,3.3,1.2,5.0,0.6,5.1,25.5,3.8,0.0,0.2,1.0,       .,       .,       .,       .
6808,BU03940986,BU03940986,4.4,0.0,0.0,4.7,0.9,4.8,0.9,5.2,25.7,3.3,0.0,0.1,1.0,       .,       .,       .,       .
6809,BU03940987,BU03940987,4.2,0.0,0.1,3.6,2.4,4.7,0.7,5.0,26.0,3.0,0.0,0.6,2.5,       .,       .,       .,       .
6810,BU03940988,BU03940988,5.4,0.0,0.0,0.7,1.0,5.5,0.1,5.3,25.1,5.4,0.0,0.0,0.4,       .,       .,       .,       .
6811,BU03940989,BU03940989,4.8,0.0,0.0,1.5,2.7,5.0,0.4,4.0,24.8,3.2,0.0,0.4,2.2,       .,       .,       .,       .
6812,WK039410,WK039410,1.6,0.0,8.5,10.7,0.7,1.8,1.1,6.8,27.8,1.5,0.1,3.8,4.6,       .,       .,       .,       .
6813,BU03941090,BU03941090,1.5,0.0,8.7,10.5,0.7,1.7,1.0,6.9,27.9,1.5,0.1,3.9,4.6,       .,       .,       .,       .
6814,BU03941091,BU03941091,2.7,0.0,3.7,13.9,1.6,2.9,1.6,5.2,26.6,2.4,0.1,1.5,6.0,       .,       .,       .,       .
6815,WK039411,WK039411,1.4,0.1,7.9,15.5,1.1,1.8,2.1,5.9,24.5,1.9,0.0,3.9,5.7,       .,       .,       .,       .
6816,BU03941192,BU03941192,1.9,0.1,6.0,16.2,0.7,2.3,2.4,6.1,23.4,2.3,0.0,3.3,5.9,       .,       .,       .,       .
6817,BU03941193,BU03941193,1.4,0.1,8.1,15.4,1.1,1.7,2.1,5.8,24.6,1.8,0.0,4.0,5.6,       .,       .,       .,       .
6818,WK039412,WK039412,2.2,0.0,3.1,11.6,2.2,2.9,1.7,8.8,22.9,2.3,0.0,0.9,5.0,       .,       .,       .,       .
6819,BU03941294,BU03941294,2.0,0.0,3.7,11.0,2.0,2.8,1.7,9.0,22.6,2.1,0.0,1.0,4.2,       .,       .,       .,       .
6820,BU03941295,BU03941295,2.9,0.0,1.1,13.6,2.7,3.6,1.8,8.2,24.1,3.0,0.0,0.5,7.8,       .,       .,       .,       .
6821,WK039413,WK039413,2.7,0.0,1.8,17.0,2.4,3.8,1.7,8.1,25.3,2.7,0.0,1.9,10.3,       .,       .,       .,       .
6822,BU03941397,BU03941397,2.6,0.0,2.5,19.6,1.9,3.0,1.7,8.9,25.4,1.9,0.0,3.8,11.1,       .,       .,       .,       .
6823,BU03941398,BU03941398,2.7,0.0,1.5,20.2,2.7,4.1,2.1,8.1,26.0,3.0,0.0,0.8,12.3,       .,       .,       .,       .
6824,BU03941399,BU03941399,2.9,0.0,1.3,14.2,2.8,4.5,1.6,7.3,25.1,3.4,0.0,0.3,9.4,       .,       .,       .,       .
6825,WK039415,WK039415,1.0,0.7,1.2,10.3,0.9,4.6,0.9,7.2,35.0,3.0,0.1,0.3,7.0,       .,       .,       .,       .
6826,BU03941567,BU03941567,0.6,1.0,1.0,8.5,0.4,4.9,0.6,7.2,35.1,3.6,0.0,0.0,5.1,       .,       .,       .,       .
6827,BU03941569,BU03941569,0.7,0.9,1.3,10.7,0.7,4.1,1.0,7.4,35.0,3.1,0.0,0.2,4.2,       .,       .,       .,       .
6828,BU03941570,BU03941570,1.7,0.1,1.5,9.3,1.5,5.0,0.8,7.3,34.6,2.8,0.0,0.7,11.0,       .,       .,       .,       .
6829,BU03941571,BU03941571,2.9,0.0,1.1,16.8,3.1,4.3,1.4,6.4,35.4,0.7,0.8,1.2,19.0,       .,       .,       .,       .
6830,WK039416,WK039416,4.4,0.0,0.0,2.2,0.2,4.7,0.9,4.4,36.7,4.5,0.0,0.0,1.5,       .,       .,       .,       .
6831,BU03941663,BU03941663,4.4,0.0,0.0,2.2,0.2,4.7,0.9,4.4,36.7,4.5,0.0,0.0,1.5,       .,       .,       .,       .
6832,WK039420,WK039420,0.9,0.6,1.0,10.2,0.9,4.2,1.3,7.3,36.2,1.6,0.0,2.0,7.7,       .,       .,       .,       .
6833,BU03942038,BU03942038,0.8,0.7,1.0,10.4,0.8,4.1,1.4,7.4,36.2,1.5,0.0,2.0,6.9,       .,       .,       .,       .
6834,BU03942042,BU03942042,1.9,0.0,0.8,8.8,1.8,5.0,1.2,6.9,37.6,2.6,0.0,1.9,18.7,       .,       .,       .,       .
6835,BU03942096,BU03942096,2.6,0.0,0.8,5.7,2.4,5.0,0.6,7.1,36.5,3.0,0.0,1.0,14.5,       .,       .,       .,       .
6836,WK039421,WK039421,2.8,0.0,1.3,17.9,2.4,4.1,2.5,7.0,40.2,2.5,0.0,1.9,67.2,       .,       .,       .,       .
6837,BU03942120,BU03942120,2.9,0.0,1.0,14.9,2.6,4.3,2.4,7.0,39.7,2.6,0.0,1.7,64.9,       .,       .,       .,       .
6838,BU03942121,BU03942121,2.4,0.0,2.3,30.5,1.6,3.3,3.0,7.2,42.0,1.7,0.0,2.8,80.9,       .,       .,       .,       .
6839,BU03942128,BU03942128,2.9,0.0,1.3,14.3,2.8,4.7,2.0,7.0,41.3,2.8,0.0,0.7,53.4,       .,       .,       .,       .
6840,WK039422,WK039422,1.1,1.4,2.8,9.5,0.9,5.9,0.0,8.5,45.6,1.0,0.8,3.8,9.1,       .,       .,       .,       .
6841,BU03942272,BU03942272,1.0,1.4,2.9,9.7,0.9,5.8,0.0,8.6,45.8,0.9,0.8,3.9,9.2,       .,       .,       .,       .
6842,BU03942273,BU03942273,4.2,0.0,0.2,2.7,3.1,7.4,0.0,5.4,42.2,3.9,0.0,0.2,3.3,       .,       .,       .,       .
6843,GM1655,GM1655,1.1,1.2,2.9,6.1,1.0,3.6,0.7,2.0,8.7,0.8,1.4,3.9,9.1,       .,       .,       .,       .
6844,WK165501,WK165501,0.9,1.3,2.0,2.7,0.8,5.7,0.1,2.0,5.9,0.6,1.8,3.1,5.9,       .,       .,       .,       .
6845,BU16550101,BU16550101,0.7,1.5,2.0,2.6,0.7,5.9,0.0,2.0,6.0,0.5,2.1,3.1,5.9,       .,       .,       .,       .
6846,BU16550102,BU16550102,1.6,0.2,2.0,2.6,1.6,5.3,0.2,1.8,5.0,1.1,0.5,3.1,5.7,       .,       .,       .,       .
6847,BU16550109,BU16550109,2.1,0.0,1.9,4.8,2.0,4.7,0.8,2.0,6.2,1.9,0.0,2.9,7.0,       .,       .,       .,       .
6848,WK165502,WK165502,3.8,0.0,0.1,2.6,0.5,7.4,0.0,1.0,5.5,0.6,1.7,2.3,8.0,       .,       .,       .,       .
6849,BU16550201,BU16550201,3.8,0.0,0.0,2.7,0.4,7.4,0.0,1.0,5.5,0.5,1.8,2.2,8.1,       .,       .,       .,       .
6850,BU16550209,BU16550209,2.9,0.0,1.0,2.2,2.0,8.3,0.0,1.6,6.0,2.3,0.0,3.9,6.1,       .,       .,       .,       .
6851,WK165503,WK165503,0.7,1.8,4.9,6.6,1.2,1.5,1.0,2.0,9.1,0.8,1.3,4.1,8.8,       .,       .,       .,       .
6852,BU16550301,BU16550301,0.4,2.9,5.0,7.1,0.4,0.6,1.0,2.0,8.8,0.5,2.2,4.0,9.3,       .,       .,       .,       .
6853,BU16550302,BU16550302,0.4,2.0,4.9,6.0,2.3,2.5,1.0,2.0,10.0,0.6,1.0,3.9,9.2,       .,       .,       .,       .
6854,BU16550303,BU16550303,0.7,1.7,5.1,6.0,2.1,2.4,1.0,2.0,10.6,0.9,0.7,4.5,9.7,       .,       .,       .,       .
6855,BU16550304,BU16550304,0.6,2.2,5.0,6.5,0.6,0.7,1.0,2.0,8.2,0.6,1.7,4.0,8.4,       .,       .,       .,       .
6856,BU16550305,BU16550305,1.2,0.2,5.0,6.5,1.5,1.7,1.0,2.0,8.7,1.0,0.8,4.3,7.4,       .,       .,       .,       .
6857,BU16550307,BU16550307,2.2,0.2,2.8,7.1,2.1,2.5,1.0,2.0,7.5,2.2,0.2,2.6,8.2,       .,       .,       .,       .
6858,BU16550308,BU16550308,1.4,0.3,4.8,6.4,1.4,1.5,1.0,2.0,8.3,1.2,0.3,4.2,7.9,       .,       .,       .,       .
6859,BU16550309,BU16550309,1.7,0.4,3.7,6.3,1.9,2.8,1.0,2.3,9.8,1.3,0.1,4.2,8.9,       .,       .,       .,       .
