ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
69,BU16802000,BU16802000,6.4,0.0,0.0,0.0,0.4,10.0,0.0,0.5,6.0,4.4,0.0,0.0,1.0,       .,       .,       .,       .
70,BU16802001,BU16802001,6.9,0.0,0.0,0.0,3.8,7.2,0.0,1.0,5.1,7.1,0.0,0.0,0.0,       .,       .,       .,       .
71,BU16802008,BU16802008,6.3,0.0,0.0,0.1,3.8,7.0,0.0,1.0,6.2,6.4,0.0,0.0,0.0,       .,       .,       .,       .
72,BU16802009,BU16802009,6.4,0.0,0.0,0.3,2.7,9.2,0.0,0.7,5.9,5.1,0.0,0.3,0.7,       .,       .,       .,       .
73,WK168021,WK168021,5.1,0.0,0.1,0.4,4.8,7.4,0.0,2.1,6.2,0.8,0.8,1.8,2.0,       .,       .,       .,       .
74,BU16802100,BU16802100,5.3,0.0,0.0,0.0,5.1,7.1,0.0,2.0,6.0,0.4,1.0,2.0,2.0,       .,       .,       .,       .
75,BU16802101,BU16802101,5.8,0.0,0.0,0.0,4.6,8.5,0.0,2.0,6.0,0.3,1.0,2.0,2.0,       .,       .,       .,       .
76,BU16802109,BU16802109,4.4,0.0,0.2,1.3,4.3,7.4,0.0,2.2,6.7,1.8,0.2,1.2,2.0,       .,       .,       .,       .
77,GM0358,GM0358,0.8,1.2,4.8,11.0,0.9,3.3,0.9,4.1,31.5,1.8,0.4,1.7,5.2,       .,       .,       .,       .
78,WK035800,WK035800,0.7,1.6,6.5,12.1,0.8,1.5,1.0,4.1,33.9,0.9,0.8,3.1,5.6,       .,       .,       .,       .
79,BU03580000,BU03580000,0.5,3.0,6.1,11.6,0.5,0.6,1.0,4.0,34.6,0.6,1.2,3.2,5.4,       .,       .,       .,       .
80,BU03580001,BU03580001,0.8,1.3,7.0,12.5,0.6,1.5,1.0,4.5,35.0,1.0,0.7,3.3,5.9,       .,       .,       .,       .
81,BU03580004,BU03580004,0.5,0.9,6.2,13.1,1.6,2.3,1.0,3.5,32.2,0.9,0.8,3.0,6.0,       .,       .,       .,       .
82,BU03580005,BU03580005,1.4,1.1,4.8,7.8,1.4,1.6,1.0,3.7,27.7,1.6,0.4,2.1,3.7,       .,       .,       .,       .
83,WK035801,WK035801,0.9,0.5,1.5,6.5,0.8,4.6,0.8,2.5,24.5,3.5,0.0,0.2,4.2,       .,       .,       .,       .
84,BU03580100,BU03580100,0.9,0.5,1.5,6.5,0.8,4.6,0.8,2.5,24.5,3.5,0.0,0.2,4.2,       .,       .,       .,       .
85,WK035802,WK035802,0.9,1.4,5.7,13.6,0.9,4.4,0.8,5.4,34.6,1.5,0.2,1.2,5.5,       .,       .,       .,       .
86,BU03580200,BU03580200,1.1,0.4,6.4,12.4,1.1,2.8,1.0,5.5,36.6,0.8,0.6,2.1,4.6,       .,       .,       .,       .
87,BU03580201,BU03580201,0.8,1.0,5.6,12.6,1.1,3.8,1.0,5.3,35.0,1.7,0.2,1.7,5.0,       .,       .,       .,       .
88,BU03580205,BU03580205,0.8,1.7,5.7,13.9,0.8,4.6,0.8,5.3,34.1,1.6,0.1,1.0,5.7,       .,       .,       .,       .
89,BU03580206,BU03580206,2.2,0.0,4.2,14.0,2.0,5.1,0.4,6.2,36.8,2.1,0.0,0.9,6.3,       .,       .,       .,       .
90,GM0197,GM0197,1.4,0.9,2.2,3.2,1.1,1.7,1.6,3.4,8.5,1.4,0.6,1.3,2.6,       .,       .,       .,       .
91,WK019701,WK019701,3.6,0.0,0.8,3.0,3.3,3.8,1.5,3.6,9.0,3.5,0.0,0.6,2.7,       .,       .,       .,       .
92,BU01970101,BU01970101,3.5,0.0,0.0,7.1,2.9,3.7,3.0,3.0,11.0,2.8,0.0,1.0,8.0,       .,       .,       .,       .
93,BU01970102,BU01970102,3.2,0.0,0.7,5.8,2.9,3.3,2.3,3.4,10.6,3.0,0.0,1.3,8.1,       .,       .,       .,       .
94,BU01970103,BU01970103,3.2,0.0,1.1,3.0,2.5,3.2,2.0,3.0,8.0,3.2,0.0,0.4,1.3,       .,       .,       .,       .
95,BU01970104,BU01970104,4.4,0.0,0.2,1.7,3.9,4.6,0.8,3.4,7.6,4.3,0.0,0.2,1.0,       .,       .,       .,       .
96,BU01970105,BU01970105,5.1,0.0,0.0,0.2,4.8,5.2,0.1,3.0,7.1,4.7,0.0,0.0,1.0,       .,       .,       .,       .
97,BU01970106,BU01970106,4.8,0.0,0.0,2.0,4.9,5.2,0.3,4.4,10.0,5.1,0.0,0.0,0.4,       .,       .,       .,       .
98,BU01970107,BU01970107,2.3,0.0,2.3,3.0,2.6,2.9,2.0,4.6,8.9,2.9,0.0,0.6,1.4,       .,       .,       .,       .
99,BU01970108,BU01970108,4.6,0.0,0.1,1.9,4.2,4.9,0.9,4.5,10.1,4.6,0.0,0.0,1.5,       .,       .,       .,       .
100,BU01970109,BU01970109,3.9,0.0,0.1,3.4,3.8,4.1,1.8,4.0,10.8,3.4,0.0,0.2,4.8,       .,       .,       .,       .
101,BU01970110,BU01970110,2.0,0.1,2.5,3.8,1.8,2.0,2.0,3.8,9.2,2.1,0.0,1.2,2.7,       .,       .,       .,       .
102,BU01970111,BU01970111,3.7,0.0,0.6,2.6,3.4,3.8,1.6,2.8,7.6,3.5,0.0,0.7,2.1,       .,       .,       .,       .
103,BU01970112,BU01970112,3.5,0.0,0.0,1.0,3.6,5.0,0.7,3.0,7.0,3.3,0.0,0.0,2.0,       .,       .,       .,       .
104,WK019702,WK019702,0.9,0.8,1.2,3.9,0.7,3.4,1.9,4.0,7.9,0.7,1.6,2.1,3.1,       .,       .,       .,       .
105,BU01970201,BU01970201,2.5,0.0,0.8,3.0,1.9,4.3,1.5,3.8,8.3,1.9,0.3,1.6,3.6,       .,       .,       .,       .
106,BU01970202,BU01970202,1.9,0.0,3.1,4.0,1.4,2.1,2.0,3.7,8.0,1.5,0.2,2.9,3.0,       .,       .,       .,       .
107,BU01970203,BU01970203,1.2,0.5,1.0,3.7,1.5,3.6,2.0,4.0,7.4,1.2,0.4,2.0,3.0,       .,       .,       .,       .
108,BU01970204,BU01970204,0.5,1.0,1.0,4.0,0.4,3.4,2.0,4.0,7.9,0.4,2.0,2.0,3.0,       .,       .,       .,       .
109,WK019703,WK019703,1.0,1.2,3.0,3.9,0.7,1.1,2.0,3.9,8.6,1.1,0.4,1.2,2.9,       .,       .,       .,       .
110,BU01970301,BU01970301,0.6,2.6,3.0,4.0,0.9,1.1,2.0,4.0,9.0,1.1,0.3,1.0,3.0,       .,       .,       .,       .
111,BU01970302,BU01970302,1.2,0.3,3.0,3.8,0.6,1.3,2.0,4.1,8.0,1.3,0.1,1.0,3.0,       .,       .,       .,       .
112,BU01970303,BU01970303,1.7,0.0,3.0,3.8,1.1,1.7,2.0,3.7,8.0,1.8,0.0,1.0,3.0,       .,       .,       .,       .
