ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSchool_64,Within3Km_65,Within5Km_66,Within10Km_67,DistanceToSchool_68,Within3Km_69,Within5Km_70,Within10Km_71,DistanceToSchool_72,Within3Km_73,Within5Km_74,Within10Km_75,DistanceToPublicGreenTotal_76,DistanceToParkOrPublicGarden_77,DistanceToRecreationalTerrain_78,DistanceToForest_79,DistanceToOpenNatTerrainTotal_80,DistanceToOpenDryNaturalTerrain_81,DistanceToOpenWetNaturalTerrain_82
17383,BU16900000,BU16900000,8.6,0.0,0.0,8.1,8.6,0.0,0.0,7.1,8.7,0.0,0.0,2.8,       .,       .,       .,       .,       .,       .,       .
17384,BU16900009,BU16900009,8.3,0.0,0.0,5.2,8.3,0.0,0.0,4.7,8.5,0.0,0.0,1.5,       .,       .,       .,       .,       .,       .,       .
17385,WK169001,WK169001,6.0,0.0,0.8,7.2,6.0,0.0,0.6,6.2,6.1,0.0,0.2,2.1,       .,       .,       .,       .,       .,       .,       .
17386,BU16900100,BU16900100,6.2,0.0,0.0,7.0,6.2,0.0,0.0,6.0,6.3,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
17387,BU16900109,BU16900109,5.7,0.0,2.2,7.5,5.7,0.0,1.8,6.5,5.8,0.0,0.5,2.3,       .,       .,       .,       .,       .,       .,       .
17388,WK169002,WK169002,7.6,0.0,0.0,8.4,7.6,0.0,0.0,7.4,7.7,0.0,0.0,2.8,       .,       .,       .,       .,       .,       .,       .
17389,BU16900200,BU16900200,7.5,0.0,0.0,9.0,7.5,0.0,0.0,8.0,7.6,0.0,0.0,3.0,       .,       .,       .,       .,       .,       .,       .
17390,BU16900209,BU16900209,7.9,0.0,0.0,7.3,7.9,0.0,0.0,6.4,8.0,0.0,0.0,2.5,       .,       .,       .,       .,       .,       .,       .
17391,WK169003,WK169003,4.9,0.0,1.0,2.0,4.9,0.0,1.0,2.0,4.9,0.0,0.7,1.0,       .,       .,       .,       .,       .,       .,       .
17392,BU16900300,BU16900300,4.6,0.0,1.2,2.0,4.6,0.0,1.2,2.0,4.6,0.0,0.8,1.0,       .,       .,       .,       .,       .,       .,       .
17393,BU16900309,BU16900309,5.3,0.0,0.8,2.0,5.3,0.0,0.8,2.0,5.3,0.0,0.5,1.0,       .,       .,       .,       .,       .,       .,       .
17394,WK169004,WK169004,5.3,0.1,0.7,2.2,5.3,0.1,0.7,2.1,5.3,0.0,0.5,1.0,       .,       .,       .,       .,       .,       .,       .
17395,BU16900400,BU16900400,4.7,0.0,1.2,2.0,4.7,0.0,1.2,2.0,4.7,0.0,1.0,1.0,       .,       .,       .,       .,       .,       .,       .
17396,BU16900409,BU16900409,5.5,0.1,0.6,2.2,5.5,0.1,0.6,2.2,5.5,0.1,0.3,1.0,       .,       .,       .,       .,       .,       .,       .
17397,WK169005,WK169005,9.8,0.0,0.0,0.8,9.8,0.0,0.0,0.8,9.8,0.0,0.0,0.4,       .,       .,       .,       .,       .,       .,       .
17398,BU16900500,BU16900500,10.2,0.0,0.0,0.0,10.2,0.0,0.0,0.0,10.2,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17399,BU16900509,BU16900509,9.6,0.0,0.0,1.1,9.6,0.0,0.0,1.1,9.6,0.0,0.0,0.5,       .,       .,       .,       .,       .,       .,       .
17400,WK169006,WK169006,11.6,0.0,0.0,0.2,11.6,0.0,0.0,0.2,11.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
