ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSemiPublicGreenTotal_83,DistanceToSportsArea_84,DistanceToAllotmentGarden_85,DistanceToRecreationalArea_86,DistanceToCemetery_87,DistanceToRecreationalInlandWaters_88,DistanceToMainRoadEntrance_89,DistanceToTrainStationAllTypes_90,DistanceToImportantTransferStation_91,DistanceToLibrary_92,DistanceToSwimmingPool_93,DistanceToArtificialIceSkatingRink_94,DistanceToMuseum_95,Within5Km_96,Within10Km_97,Within20Km_98
8205,WK011853,WK011853,       .,       .,       .,       .,       .,       .,4.7,11.8,29.1,5.6,10.2,61.6,12.4,0.0,0.0,3.0
8206,BU01185300,BU01185300,       .,       .,       .,       .,       .,       .,4.7,12.0,29.1,5.4,10.3,61.7,12.7,0.0,0.0,3.0
8207,BU01185301,BU01185301,       .,       .,       .,       .,       .,       .,4.2,11.5,28.9,6.4,9.5,62.2,12.7,0.0,0.0,3.0
8208,BU01185302,BU01185302,       .,       .,       .,       .,       .,       .,4.8,11.3,28.9,5.6,10.3,61.1,11.7,0.0,0.0,3.0
8209,WK011854,WK011854,       .,       .,       .,       .,       .,       .,3.0,7.5,27.3,6.5,5.3,58.1,12.0,0.0,0.0,3.6
8210,BU01185400,BU01185400,       .,       .,       .,       .,       .,       .,2.7,7.2,27.2,6.3,5.0,57.9,11.9,0.0,0.0,3.7
8211,BU01185401,BU01185401,       .,       .,       .,       .,       .,       .,4.2,8.4,26.6,6.6,6.6,58.3,9.3,0.0,0.7,3.0
8212,BU01185402,BU01185402,       .,       .,       .,       .,       .,       .,3.8,8.7,27.8,7.4,6.5,59.3,13.5,0.0,0.0,3.6
8213,WK011855,WK011855,       .,       .,       .,       .,       .,       .,1.7,5.2,26.3,4.8,3.9,55.7,13.3,0.0,0.0,3.9
8214,BU01185500,BU01185500,       .,       .,       .,       .,       .,       .,1.9,5.2,26.2,4.9,3.9,55.7,13.3,0.0,0.0,4.0
8215,BU01185501,BU01185501,       .,       .,       .,       .,       .,       .,1.1,5.2,26.5,4.7,3.8,55.7,13.4,0.0,0.0,3.5
8216,WK011856,WK011856,       .,       .,       .,       .,       .,       .,2.2,11.4,26.7,6.6,10.9,63.4,11.9,0.0,0.0,3.0
8217,BU01185600,BU01185600,       .,       .,       .,       .,       .,       .,2.2,11.4,26.8,6.5,10.9,63.4,11.9,0.0,0.0,3.0
8218,BU01185601,BU01185601,       .,       .,       .,       .,       .,       .,2.0,11.1,25.6,7.3,10.7,63.4,12.1,0.0,0.2,3.4
8219,WK011857,WK011857,       .,       .,       .,       .,       .,       .,2.6,7.2,26.9,6.8,6.2,57.7,15.3,0.0,0.0,3.9
8220,BU01185700,BU01185700,       .,       .,       .,       .,       .,       .,2.5,7.0,27.0,6.8,6.3,57.5,15.5,0.0,0.0,3.9
8221,BU01185701,BU01185701,       .,       .,       .,       .,       .,       .,2.8,7.4,26.9,6.9,6.1,57.9,15.2,0.0,0.0,3.9
8222,WK011858,WK011858,       .,       .,       .,       .,       .,       .,1.3,6.5,29.0,6.3,6.1,55.8,14.2,0.0,0.0,2.6
8223,BU01185800,BU01185800,       .,       .,       .,       .,       .,       .,1.0,6.2,29.1,5.9,5.7,55.9,14.6,0.0,0.0,2.8
8224,BU01185801,BU01185801,       .,       .,       .,       .,       .,       .,1.9,7.0,28.8,6.7,6.6,55.6,13.7,0.0,0.0,2.3
8225,WK011859,WK011859,       .,       .,       .,       .,       .,       .,2.9,3.7,25.9,3.5,4.0,52.5,13.3,0.0,0.0,2.7
8226,BU01185900,BU01185900,       .,       .,       .,       .,       .,       .,3.0,3.3,25.9,3.1,3.5,52.6,12.9,0.0,0.0,2.9
8227,BU01185901,BU01185901,       .,       .,       .,       .,       .,       .,2.7,4.2,25.9,4.0,4.5,52.4,13.7,0.0,0.0,2.4
8228,WK011860,WK011860,       .,       .,       .,       .,       .,       .,1.2,5.4,22.5,5.7,6.9,48.4,13.9,0.0,0.0,3.2
8229,BU01186000,BU01186000,       .,       .,       .,       .,       .,       .,0.6,5.3,22.0,5.7,7.0,48.0,14.3,0.0,0.0,3.0
8230,BU01186001,BU01186001,       .,       .,       .,       .,       .,       .,2.2,6.9,23.7,7.2,8.3,48.6,14.3,0.0,0.0,3.6
8231,BU01186002,BU01186002,       .,       .,       .,       .,       .,       .,2.3,5.6,20.5,5.6,7.2,47.2,13.5,0.0,0.0,3.1
8232,BU01186003,BU01186003,       .,       .,       .,       .,       .,       .,1.5,2.3,23.5,2.6,3.9,50.2,11.7,0.0,0.0,3.4
8233,WK011861,WK011861,       .,       .,       .,       .,       .,       .,5.0,9.7,27.7,7.1,7.5,59.3,10.3,0.0,0.4,3.0
8234,BU01186100,BU01186100,       .,       .,       .,       .,       .,       .,5.0,9.7,27.7,7.1,7.5,59.3,10.3,0.0,0.4,3.0
8235,WK011862,WK011862,       .,       .,       .,       .,       .,       .,1.9,4.5,24.6,3.9,3.6,54.4,9.9,0.0,0.5,2.7
8236,BU01186201,BU01186201,       .,       .,       .,       .,       .,       .,0.7,1.1,23.6,1.4,2.8,50.3,10.7,0.0,0.0,3.0
8237,BU01186202,BU01186202,       .,       .,       .,       .,       .,       .,2.1,1.6,25.1,1.5,1.9,52.1,11.2,0.0,0.0,3.0
8238,BU01186203,BU01186203,       .,       .,       .,       .,       .,       .,1.5,3.7,26.3,3.4,3.0,54.3,13.0,0.0,0.0,3.4
8239,BU01186204,BU01186204,       .,       .,       .,       .,       .,       .,1.7,6.0,25.9,5.2,4.0,56.6,10.4,0.0,0.5,2.4
8240,BU01186205,BU01186205,       .,       .,       .,       .,       .,       .,2.7,4.2,23.5,3.4,3.6,54.4,7.4,0.0,1.0,2.0
8241,BU01186206,BU01186206,       .,       .,       .,       .,       .,       .,1.6,5.4,18.7,5.1,5.6,49.6,6.3,0.0,1.0,4.0
8242,GM0405,GM0405,       .,       .,       .,       .,       .,       .,1.9,2.0,3.2,1.7,3.0,3.6,2.9,2.6,3.0,14.3
8243,WK040510,WK040510,       .,       .,       .,       .,       .,       .,2.2,0.9,0.9,0.6,2.0,3.1,0.5,3.0,3.0,16.2
8244,BU04051000,BU04051000,       .,       .,       .,       .,       .,       .,2.4,1.1,1.1,0.7,1.8,3.4,0.9,3.0,3.0,15.6
8245,BU04051001,BU04051001,       .,       .,       .,       .,       .,       .,2.4,1.1,1.1,0.5,2.1,3.3,0.4,3.0,3.0,15.9
8246,BU04051002,BU04051002,       .,       .,       .,       .,       .,       .,1.9,0.7,0.7,0.5,2.0,2.8,0.4,3.0,3.0,16.5
8247,BU04051003,BU04051003,       .,       .,       .,       .,       .,       .,1.7,0.4,0.4,0.6,1.9,2.6,0.7,3.0,3.0,17.1
8248,WK040511,WK040511,       .,       .,       .,       .,       .,       .,2.4,1.4,1.4,1.2,1.6,3.7,1.4,3.0,3.0,14.9
8249,BU04051100,BU04051100,       .,       .,       .,       .,       .,       .,2.1,2.1,2.1,2.0,2.3,4.4,2.1,3.0,3.0,13.3
8250,BU04051101,BU04051101,       .,       .,       .,       .,       .,       .,3.1,1.8,1.8,1.7,1.8,4.1,1.8,3.0,3.0,13.3
8251,BU04051102,BU04051102,       .,       .,       .,       .,       .,       .,2.4,1.4,1.4,1.2,1.6,3.7,1.4,3.0,3.0,15.0
8252,BU04051103,BU04051103,       .,       .,       .,       .,       .,       .,2.1,0.7,0.7,0.8,1.4,3.0,1.0,3.0,3.0,16.0
8253,WK040512,WK040512,       .,       .,       .,       .,       .,       .,2.2,1.3,1.3,1.4,0.9,2.9,0.9,3.0,3.0,16.3
8254,BU04051200,BU04051200,       .,       .,       .,       .,       .,       .,2.7,1.7,1.7,1.7,0.4,3.2,1.4,3.0,3.0,16.0
8255,BU04051201,BU04051201,       .,       .,       .,       .,       .,       .,2.0,1.3,1.3,1.4,1.0,2.7,0.8,3.0,3.0,16.4
8256,BU04051202,BU04051202,       .,       .,       .,       .,       .,       .,2.1,1.0,1.0,1.1,1.1,3.0,0.8,3.0,3.0,16.4
8257,BU04051203,BU04051203,       .,       .,       .,       .,       .,       .,1.5,0.9,0.9,1.2,1.6,2.4,0.4,3.0,3.0,17.1
8258,BU04051204,BU04051204,       .,       .,       .,       .,       .,       .,1.0,1.1,1.1,1.8,2.3,2.1,0.9,3.0,3.0,16.1
8259,WK040513,WK040513,       .,       .,       .,       .,       .,       .,1.9,2.0,2.0,2.6,3.7,3.3,2.3,3.0,3.0,15.7
8260,BU04051300,BU04051300,       .,       .,       .,       .,       .,       .,2.1,1.4,1.4,1.9,3.1,3.2,1.6,3.0,3.0,15.8
8261,BU04051301,BU04051301,       .,       .,       .,       .,       .,       .,2.0,1.7,1.7,2.2,3.4,3.2,2.0,3.0,3.0,15.7
8262,BU04051302,BU04051302,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
8263,BU04051303,BU04051303,       .,       .,       .,       .,       .,       .,1.6,1.7,1.7,2.3,3.5,2.8,2.0,3.0,3.0,16.0
8264,BU04051304,BU04051304,       .,       .,       .,       .,       .,       .,2.1,1.7,1.7,2.3,3.5,3.3,2.0,3.0,3.0,16.0
8265,BU04051305,BU04051305,       .,       .,       .,       .,       .,       .,1.8,2.1,2.1,2.7,3.8,2.9,2.4,3.0,3.0,16.0
8266,BU04051306,BU04051306,       .,       .,       .,       .,       .,       .,2.1,2.1,2.1,2.7,3.9,3.2,2.4,3.0,3.0,16.0
8267,BU04051307,BU04051307,       .,       .,       .,       .,       .,       .,2.0,2.6,2.6,3.2,4.3,3.7,2.9,3.0,3.0,15.4
8268,BU04051308,BU04051308,       .,       .,       .,       .,       .,       .,1.2,3.0,3.0,3.5,4.7,4.1,3.2,3.0,3.0,14.0
8269,WK040520,WK040520,       .,       .,       .,       .,       .,       .,1.9,2.3,2.3,1.1,2.2,1.6,1.9,3.0,3.0,15.7
8270,BU04052000,BU04052000,       .,       .,       .,       .,       .,       .,2.5,2.3,2.3,0.9,1.3,2.3,1.9,3.0,3.0,15.4
8271,BU04052001,BU04052001,       .,       .,       .,       .,       .,       .,1.3,1.4,1.4,1.6,2.1,1.9,1.0,3.0,3.0,17.3
8272,BU04052002,BU04052002,       .,       .,       .,       .,       .,       .,0.9,1.4,1.4,1.9,2.7,1.4,1.2,3.0,3.0,15.8
8273,BU04052003,BU04052003,       .,       .,       .,       .,       .,       .,2.4,2.6,2.6,0.5,1.7,1.9,2.1,3.0,3.0,15.1
8274,BU04052004,BU04052004,       .,       .,       .,       .,       .,       .,1.7,1.7,1.7,1.2,2.3,1.5,1.3,3.0,3.0,16.3
8275,BU04052005,BU04052005,       .,       .,       .,       .,       .,       .,1.7,1.8,1.8,1.6,2.9,1.1,1.6,3.0,3.0,15.1
8276,BU04052006,BU04052006,       .,       .,       .,       .,       .,       .,1.8,3.0,3.0,1.0,2.0,2.1,2.5,3.0,3.0,15.0
8277,BU04052007,BU04052007,       .,       .,       .,       .,       .,       .,2.0,2.4,2.4,0.8,2.2,1.3,2.0,3.0,3.0,15.8
8278,BU04052008,BU04052008,       .,       .,       .,       .,       .,       .,1.9,2.4,2.4,1.1,2.5,1.1,2.1,3.0,3.0,16.3
8279,WK040521,WK040521,       .,       .,       .,       .,       .,       .,1.1,3.3,3.3,1.9,3.1,1.6,3.0,2.9,3.0,15.1
8280,BU04052100,BU04052100,       .,       .,       .,       .,       .,       .,1.5,3.7,3.7,1.7,2.8,2.0,3.2,2.8,3.0,15.0
8281,BU04052101,BU04052101,       .,       .,       .,       .,       .,       .,1.4,2.7,2.7,1.7,3.1,1.0,2.5,3.0,3.0,15.5
8282,BU04052102,BU04052102,       .,       .,       .,       .,       .,       .,1.7,2.4,2.4,1.9,3.3,0.4,2.2,3.0,3.0,16.5
8283,BU04052103,BU04052103,       .,       .,       .,       .,       .,       .,0.8,3.4,3.4,1.8,2.9,1.8,3.2,2.9,3.0,15.0
8284,BU04052104,BU04052104,       .,       .,       .,       .,       .,       .,0.8,3.2,3.2,2.2,3.3,1.5,2.9,3.0,3.0,15.0
8285,BU04052105,BU04052105,       .,       .,       .,       .,       .,       .,0.9,2.9,2.9,2.2,3.5,1.2,2.7,3.0,3.0,14.9
8286,WK040522,WK040522,       .,       .,       .,       .,       .,       .,2.2,2.2,3.0,1.6,1.9,3.0,2.5,3.0,3.0,15.0
8287,BU04052200,BU04052200,       .,       .,       .,       .,       .,       .,2.2,2.1,3.1,1.6,2.0,3.1,2.6,3.0,3.0,15.0
8288,BU04052201,BU04052201,       .,       .,       .,       .,       .,       .,2.4,2.4,2.5,1.1,1.4,2.6,2.1,3.0,3.0,15.0
8289,WK040530,WK040530,       .,       .,       .,       .,       .,       .,1.9,2.8,4.2,2.3,3.1,3.0,3.8,2.2,3.0,13.9
8290,BU04053000,BU04053000,       .,       .,       .,       .,       .,       .,0.9,3.1,3.6,1.5,2.6,1.9,3.1,3.0,3.0,15.0
8291,BU04053001,BU04053001,       .,       .,       .,       .,       .,       .,1.7,2.8,4.0,2.2,2.9,2.9,3.6,2.6,3.0,14.4
