ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
10924,BU17400008,BU17400008,0.2,4.3,9.2,       .,       .,       .,       .,1.9,0.1,3.4,6.6,2.3,0.0,1.1,3.1,1.9,0.1,4.2,7.5
10925,BU17400009,BU17400009,0.2,5.6,12.8,       .,       .,       .,       .,1.8,0.0,4.4,9.9,2.1,0.0,2.0,6.1,1.9,0.0,4.3,8.7
10926,WK174001,WK174001,0.0,1.1,6.7,       .,       .,       .,       .,0.7,2.0,4.4,7.5,0.7,1.6,3.3,5.0,1.0,1.4,2.7,5.5
10927,BU17400100,BU17400100,0.0,1.8,8.0,       .,       .,       .,       .,0.4,3.1,5.6,8.0,0.4,2.4,4.1,5.0,0.4,2.2,3.4,6.0
10928,BU17400101,BU17400101,0.0,0.0,3.2,       .,       .,       .,       .,0.2,1.0,1.0,5.0,0.2,1.0,1.0,4.8,0.2,1.0,1.0,3.0
10929,BU17400102,BU17400102,0.0,0.0,0.8,       .,       .,       .,       .,1.4,0.0,2.8,6.1,1.4,0.0,2.3,5.0,2.7,0.0,1.8,4.0
10930,BU17400103,BU17400103,0.0,0.1,6.9,       .,       .,       .,       .,0.6,1.0,5.0,9.0,0.6,1.0,4.0,6.0,1.6,0.0,3.0,7.0
10931,BU17400106,BU17400106,0.0,0.0,11.8,       .,       .,       .,       .,2.1,0.0,0.8,8.5,2.1,0.0,0.8,6.0,2.1,0.0,0.8,5.4
10932,BU17400107,BU17400107,0.0,0.1,7.6,       .,       .,       .,       .,1.8,0.3,1.3,6.5,1.8,0.3,1.2,4.8,1.8,0.3,0.9,4.1
10933,BU17400108,BU17400108,0.0,0.0,1.1,       .,       .,       .,       .,1.4,0.2,3.3,6.4,1.4,0.2,2.7,5.1,2.3,0.0,2.0,4.2
10934,BU17400109,BU17400109,0.1,1.0,8.2,       .,       .,       .,       .,1.5,0.4,3.9,8.5,1.5,0.4,3.0,5.3,1.8,0.1,2.7,7.2
10935,WK174002,WK174002,2.1,3.8,6.3,       .,       .,       .,       .,1.0,1.9,2.8,6.2,1.1,0.6,0.9,2.3,1.0,1.3,2.0,5.8
10936,BU17400200,BU17400200,2.7,4.0,5.9,       .,       .,       .,       .,0.6,2.6,3.0,6.0,0.7,0.8,1.0,2.1,0.6,1.8,2.0,5.9
10937,BU17400201,BU17400201,0.0,2.9,8.4,       .,       .,       .,       .,2.8,0.0,1.9,8.4,3.0,0.0,0.5,3.4,2.8,0.0,1.5,4.4
10938,BU17400208,BU17400208,0.2,2.5,8.5,       .,       .,       .,       .,2.7,0.0,1.7,7.8,2.9,0.0,0.7,3.8,2.7,0.0,1.2,5.5
10939,BU17400209,BU17400209,0.2,3.5,6.3,       .,       .,       .,       .,2.0,0.0,2.8,6.0,2.0,0.0,0.9,2.5,2.0,0.0,2.2,5.6
10940,GM0946,GM0946,2.1,7.4,13.9,       .,       .,       .,       .,0.8,1.1,4.1,8.8,0.8,1.1,3.5,9.1,0.9,1.0,3.2,6.9
10941,WK094601,WK094601,3.2,9.4,17.1,       .,       .,       .,       .,0.7,1.3,5.1,10.6,0.8,1.3,4.0,11.4,0.8,1.3,3.9,8.6
10942,BU09460101,BU09460101,3.7,10.0,16.2,       .,       .,       .,       .,0.6,1.5,5.4,10.9,0.6,1.5,4.2,11.8,0.6,1.5,4.2,8.8
10943,BU09460102,BU09460102,0.0,5.2,15.6,       .,       .,       .,       .,2.0,0.0,2.8,8.8,2.0,0.0,3.3,9.5,2.0,0.0,2.8,7.4
10944,BU09460103,BU09460103,0.2,6.1,12.2,       .,       .,       .,       .,1.9,0.2,2.7,7.1,2.0,0.1,2.7,7.1,2.0,0.1,2.6,5.6
10945,BU09460104,BU09460104,0.0,5.1,38.1,       .,       .,       .,       .,1.4,0.4,3.7,11.8,2.4,0.0,2.3,11.4,2.4,0.0,2.2,9.3
10946,WK094602,WK094602,3.3,10.4,12.9,       .,       .,       .,       .,0.7,0.9,6.9,8.7,0.7,0.9,6.3,8.7,0.7,0.9,5.3,6.8
10947,BU09460201,BU09460201,3.7,10.9,12.8,       .,       .,       .,       .,0.5,1.0,7.4,9.0,0.5,1.0,6.6,9.0,0.5,1.0,5.7,7.0
10948,BU09460202,BU09460202,0.1,6.9,13.4,       .,       .,       .,       .,2.2,0.1,3.3,7.0,2.2,0.1,3.7,6.4,2.2,0.1,3.0,5.4
10949,WK094603,WK094603,0.7,4.1,10.8,       .,       .,       .,       .,1.1,0.6,1.9,6.2,1.0,1.2,2.5,6.1,1.3,0.6,1.5,4.7
10950,BU09460301,BU09460301,0.9,4.8,12.8,       .,       .,       .,       .,0.6,1.0,2.1,7.4,0.5,1.9,2.9,7.1,0.6,1.0,1.9,5.8
10951,BU09460302,BU09460302,0.0,2.0,3.1,       .,       .,       .,       .,1.9,0.1,1.1,2.1,1.9,0.1,1.3,3.1,3.4,0.0,0.2,1.1
10952,BU09460303,BU09460303,0.6,3.6,11.0,       .,       .,       .,       .,1.8,0.1,1.4,5.5,1.7,0.1,2.3,5.6,1.8,0.0,1.3,4.1
10953,BU09460304,BU09460304,0.0,4.2,11.4,       .,       .,       .,       .,1.8,0.0,2.6,6.3,1.7,0.0,3.1,6.0,1.8,0.0,2.1,4.7
10954,BU09460305,BU09460305,0.4,1.7,4.0,       .,       .,       .,       .,2.3,0.2,1.0,2.2,2.3,0.2,1.4,3.0,3.4,0.0,0.5,1.2
10955,WK094604,WK094604,0.0,6.1,10.7,       .,       .,       .,       .,0.7,1.6,3.0,7.8,0.8,0.8,2.0,7.0,0.8,0.8,2.0,5.9
10956,BU09460401,BU09460401,0.0,7.0,11.2,       .,       .,       .,       .,0.5,1.8,3.3,8.3,0.5,0.9,2.2,7.5,0.5,0.9,2.2,6.3
10957,BU09460402,BU09460402,0.0,0.1,7.2,       .,       .,       .,       .,2.5,0.0,1.4,5.0,2.8,0.0,0.7,3.7,2.6,0.0,0.7,3.6
10958,WK094605,WK094605,0.0,0.2,6.9,       .,       .,       .,       .,0.7,0.8,1.0,5.5,0.7,0.8,1.0,5.2,0.7,0.8,1.0,3.1
10959,BU09460501,BU09460501,0.0,0.1,7.4,       .,       .,       .,       .,0.4,1.0,1.0,6.1,0.4,1.0,1.0,5.9,0.4,1.0,1.0,3.2
10960,BU09460502,BU09460502,0.0,0.7,4.8,       .,       .,       .,       .,1.7,0.1,1.1,3.4,1.7,0.1,1.1,2.9,1.7,0.1,1.1,2.9
10961,GM0356,GM0356,4.0,27.8,65.2,       .,       .,       .,       .,0.6,2.1,13.9,30.9,0.7,1.5,10.4,24.0,0.7,1.5,9.7,21.4
10962,WK035601,WK035601,8.7,31.7,75.6,       .,       .,       .,       .,0.4,3.4,17.5,32.5,1.0,0.7,12.0,25.8,0.6,1.2,12.9,21.5
10963,BU03560101,BU03560101,10.2,31.6,71.4,       .,       .,       .,       .,0.4,3.7,17.1,31.5,0.6,1.7,12.0,23.3,0.6,1.2,12.6,20.9
10964,BU03560102,BU03560102,9.1,31.5,77.8,       .,       .,       .,       .,0.4,3.4,17.7,32.7,1.2,0.1,11.8,26.8,0.6,1.1,13.2,21.5
10965,BU03560103,BU03560103,6.1,32.1,77.1,       .,       .,       .,       .,0.4,3.1,17.6,33.4,1.1,0.4,12.4,27.3,0.5,1.2,13.0,22.3
10966,WK035602,WK035602,5.0,30.8,52.4,       .,       .,       .,       .,0.5,2.9,15.0,30.9,0.5,2.0,12.2,21.3,0.5,2.2,10.4,21.5
10967,BU03560201,BU03560201,6.7,31.9,56.2,       .,       .,       .,       .,0.5,3.1,15.0,33.1,0.5,2.2,12.4,23.6,0.6,1.9,10.8,23.2
10968,BU03560202,BU03560202,3.5,29.9,49.1,       .,       .,       .,       .,0.4,2.7,15.1,29.0,0.4,1.7,12.1,19.3,0.4,2.4,10.1,20.0
10969,WK035603,WK035603,1.9,34.2,73.8,       .,       .,       .,       .,0.5,2.6,17.4,35.5,0.5,2.4,12.4,31.7,0.5,2.8,12.8,25.0
10970,BU03560301,BU03560301,0.4,36.2,78.0,       .,       .,       .,       .,0.5,2.0,17.7,38.6,0.6,2.0,12.5,35.6,0.6,2.0,12.3,26.5
10971,BU03560302,BU03560302,3.1,31.9,71.5,       .,       .,       .,       .,0.5,3.0,17.1,33.4,0.5,2.7,12.2,29.3,0.5,3.3,12.8,23.9
10972,BU03560303,BU03560303,1.8,34.8,73.2,       .,       .,       .,       .,0.5,2.6,17.5,35.4,0.5,2.4,12.6,31.2,0.5,2.7,13.0,25.1
